0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,7,5,10,4,1,2,8,3,9,6,11,7,5,10,4,1,2,8,3,9,6
10,6,4,9,3,0,11,7,2,8,5,10,6,4,9,3,0,11,7,2,8,5
9,5,3,8,11,10,0,6,1,7,4,9,5,3,8,11,10,0,6,1,7,4
8,4,2,7,1,9,10,5,0,6,11,8,4,2,7,1,9,10,5,0,6,11
7,3,1,6,0,8,9,11,10,5,2,7,3,1,6,0,8,9,11,10,5,2
6,2,0,11,10,7,8,3,9,4,1,6,2,0,11,10,7,8,3,9,4,1
5,1,10,4,9,11,7,2,8,3,0,5,1,10,4,9,11,7,2,8,3,0
4,0,9,3,8,5,6,1,11,2,10,4,0,9,3,8,5,6,1,11,2,10
3,10,11,2,7,4,5,0,6,1,9,3,10,11,2,7,4,5,0,6,1,9
2,11,7,1,6,3,4,10,5,0,8,2,11,7,1,6,3,4,10,5,0,8
1,8,6,0,5,2,3,9,4,11,7,1,8,6,0,5,2,3,9,4,11,7
0,9,8,5,2,6,1,4,7,10,3,0,9,8,5,2,6,1,4,7,10,3
