0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
12,2,3,9,1,5,6,7,11,8,13,10,4,12,2,3,9,1,5,6,7,11,8,13,10,4
11,13,2,8,0,4,5,6,10,7,12,9,3,11,13,2,8,0,4,5,6,10,7,12,9,3
10,0,1,7,12,3,4,5,9,6,11,8,13,10,0,1,7,12,3,4,5,9,6,11,8,13
9,12,0,6,11,2,13,4,8,5,10,7,1,9,12,0,6,11,2,13,4,8,5,10,7,1
8,11,12,5,10,1,2,3,7,13,9,6,0,8,11,12,5,10,1,2,3,7,13,9,6,0
7,10,11,4,9,0,1,2,6,3,8,13,12,7,10,11,4,9,0,1,2,6,3,8,13,12
13,9,10,3,8,12,0,1,5,2,7,4,11,13,9,10,3,8,12,0,1,5,2,7,4,11
5,8,9,2,13,11,12,0,4,1,6,3,10,5,8,9,2,13,11,12,0,4,1,6,3,10
4,7,13,1,6,10,11,12,3,0,5,2,9,4,7,13,1,6,10,11,12,3,0,5,2,9
3,6,7,0,5,13,10,11,2,12,4,1,8,3,6,7,0,5,13,10,11,2,12,4,1,8
2,5,6,12,4,8,9,13,1,11,3,0,7,2,5,6,12,4,8,9,13,1,11,3,0,7
1,4,5,13,3,7,8,9,0,10,2,12,6,1,4,5,13,3,7,8,9,0,10,2,12,6
0,3,4,10,2,6,7,8,13,9,1,11,5,0,3,4,10,2,6,7,8,13,9,1,11,5
6,1,8,11,7,9,3,10,12,4,0,5,2,6,1,8,11,7,9,3,10,12,4,0,5,2
