0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2,1,11,12,14,7,6,5,9,8,10,15,4,13,3,2,1,11,12,14,7,6,5,9,8,10,15,4,13,3
15,0,10,11,13,6,5,4,8,7,9,14,3,12,2,15,0,10,11,13,6,5,4,8,7,9,14,3,12,2
0,14,9,10,12,5,4,3,7,6,8,13,15,11,1,0,14,9,10,12,5,4,3,7,6,8,13,15,11,1
14,13,8,9,11,4,15,2,6,5,7,12,1,10,0,14,13,8,9,11,4,15,2,6,5,7,12,1,10,0
13,12,7,8,10,3,2,1,5,15,6,11,0,9,14,13,12,7,8,10,3,2,1,5,15,6,11,0,9,14
12,11,6,7,9,2,1,0,4,3,15,10,14,8,13,12,11,6,7,9,2,1,0,4,3,15,10,14,8,13
11,10,5,15,8,1,0,14,3,2,4,9,13,7,12,11,10,5,15,8,1,0,14,3,2,4,9,13,7,12
10,9,4,5,15,0,14,13,2,1,3,8,12,6,11,10,9,4,5,15,0,14,13,2,1,3,8,12,6,11
9,15,3,4,6,14,13,12,1,0,2,7,11,5,10,9,15,3,4,6,14,13,12,1,0,2,7,11,5,10
8,7,2,3,5,13,12,11,0,14,1,6,10,4,15,8,7,2,3,5,13,12,11,0,14,1,6,10,4,15
7,6,1,2,4,12,11,15,14,13,0,5,9,3,8,7,6,1,2,4,12,11,15,14,13,0,5,9,3,8
6,5,0,1,3,15,10,9,13,12,14,4,8,2,7,6,5,0,1,3,15,10,9,13,12,14,4,8,2,7
5,4,14,0,2,10,9,8,15,11,13,3,7,1,6,5,4,14,0,2,10,9,8,15,11,13,3,7,1,6
4,3,15,14,1,9,8,7,11,10,12,2,6,0,5,4,3,15,14,1,9,8,7,11,10,12,2,6,0,5
3,2,12,13,0,8,7,6,10,9,11,1,5,15,4,3,2,12,13,0,8,7,6,10,9,11,1,5,15,4
1,8,13,6,7,11,3,10,12,4,5,0,2,14,9,1,8,13,6,7,11,3,10,12,4,5,0,2,14,9
