0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
14,6,9,4,1,17,5,7,11,8,10,13,3,15,2,16,12,14,6,9,4,1,17,5,7,11,8,10,13,3,15,2,16,12
13,5,8,3,0,16,4,6,10,7,9,12,2,14,17,15,11,13,5,8,3,0,16,4,6,10,7,9,12,2,14,17,15,11
12,4,7,17,16,15,3,5,9,6,8,11,1,13,0,14,10,12,4,7,17,16,15,3,5,9,6,8,11,1,13,0,14,10
11,17,6,1,15,14,2,4,8,5,7,10,0,12,16,13,9,11,17,6,1,15,14,2,4,8,5,7,10,0,12,16,13,9
10,2,5,0,14,13,1,3,7,17,6,9,16,11,15,12,8,10,2,5,0,14,13,1,3,7,17,6,9,16,11,15,12,8
9,1,4,16,13,12,0,2,6,3,17,8,15,10,14,11,7,9,1,4,16,13,12,0,2,6,3,17,8,15,10,14,11,7
8,0,3,15,12,11,16,1,5,2,4,7,14,9,13,10,17,8,0,3,15,12,11,16,1,5,2,4,7,14,9,13,10,17
17,16,2,14,11,10,15,0,4,1,3,6,13,8,12,9,5,17,16,2,14,11,10,15,0,4,1,3,6,13,8,12,9,5
6,15,1,13,10,9,14,16,3,0,2,5,12,7,11,17,4,6,15,1,13,10,9,14,16,3,0,2,5,12,7,11,17,4
5,14,0,12,17,8,13,15,2,16,1,4,11,6,10,7,3,5,14,0,12,17,8,13,15,2,16,1,4,11,6,10,7,3
4,13,16,11,8,7,12,14,1,15,0,3,17,5,9,6,2,4,13,16,11,8,7,12,14,1,15,0,3,17,5,9,6,2
3,12,15,10,7,6,17,13,0,14,16,2,9,4,8,5,1,3,12,15,10,7,6,17,13,0,14,16,2,9,4,8,5,1
2,11,14,9,6,5,10,17,16,13,15,1,8,3,7,4,0,2,11,14,9,6,5,10,17,16,13,15,1,8,3,7,4,0
1,10,17,8,5,4,9,11,15,12,14,0,7,2,6,3,16,1,10,17,8,5,4,9,11,15,12,14,0,7,2,6,3,16
0,9,12,7,4,3,8,10,17,11,13,16,6,1,5,2,15,0,9,12,7,4,3,8,10,17,11,13,16,6,1,5,2,15
16,8,11,6,3,2,7,9,13,10,12,17,5,0,4,1,14,16,8,11,6,3,2,7,9,13,10,12,17,5,0,4,1,14
15,7,10,5,2,1,6,8,12,9,11,14,4,17,3,0,13,15,7,10,5,2,1,6,8,12,9,11,14,4,17,3,0,13
7,3,13,2,9,0,11,12,14,4,5,15,10,16,1,8,6,7,3,13,2,9,0,11,12,14,4,5,15,10,16,1,8,6
