0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
8,7,18,4,9,5,6,17,19,15,3,10,1,14,2,16,13,11,12,8,7,18,4,9,5,6,17,19,15,3,10,1,14,2,16,13,11,12
7,6,17,3,8,4,5,16,18,14,2,9,0,13,19,15,12,10,11,7,6,17,3,8,4,5,16,18,14,2,9,0,13,19,15,12,10,11
6,5,16,19,7,3,4,15,17,13,1,8,18,12,0,14,11,9,10,6,5,16,19,7,3,4,15,17,13,1,8,18,12,0,14,11,9,10
5,4,15,1,6,2,19,14,16,12,0,7,17,11,18,13,10,8,9,5,4,15,1,6,2,19,14,16,12,0,7,17,11,18,13,10,8,9
19,3,14,0,5,1,2,13,15,11,18,6,16,10,17,12,9,7,8,19,3,14,0,5,1,2,13,15,11,18,6,16,10,17,12,9,7,8
3,2,13,18,4,0,1,12,14,10,17,19,15,9,16,11,8,6,7,3,2,13,18,4,0,1,12,14,10,17,19,15,9,16,11,8,6,7
2,1,12,17,3,18,0,11,13,9,16,4,14,8,15,10,7,5,19,2,1,12,17,3,18,0,11,13,9,16,4,14,8,15,10,7,5,19
1,0,11,16,2,17,18,10,12,8,15,3,13,19,14,9,6,4,5,1,0,11,16,2,17,18,10,12,8,15,3,13,19,14,9,6,4,5
0,18,10,15,1,16,17,9,11,7,14,2,12,6,13,19,5,3,4,0,18,10,15,1,16,17,9,11,7,14,2,12,6,13,19,5,3,4
18,17,19,14,0,15,16,8,10,6,13,1,11,5,12,7,4,2,3,18,17,19,14,0,15,16,8,10,6,13,1,11,5,12,7,4,2,3
17,16,8,13,18,14,15,7,9,5,12,0,19,4,11,6,3,1,2,17,16,8,13,18,14,15,7,9,5,12,0,19,4,11,6,3,1,2
16,15,7,12,17,13,14,6,8,4,19,18,9,3,10,5,2,0,1,16,15,7,12,17,13,14,6,8,4,19,18,9,3,10,5,2,0,1
15,14,6,11,16,19,13,5,7,3,10,17,8,2,9,4,1,18,0,15,14,6,11,16,19,13,5,7,3,10,17,8,2,9,4,1,18,0
14,19,5,10,15,11,12,4,6,2,9,16,7,1,8,3,0,17,18,14,19,5,10,15,11,12,4,6,2,9,16,7,1,8,3,0,17,18
13,12,4,9,19,10,11,3,5,1,8,15,6,0,7,2,18,16,17,13,12,4,9,19,10,11,3,5,1,8,15,6,0,7,2,18,16,17
12,11,3,8,13,9,10,2,4,0,7,14,5,18,6,1,17,19,16,12,11,3,8,13,9,10,2,4,0,7,14,5,18,6,1,17,19,16
11,10,2,7,12,8,9,1,3,18,6,13,4,17,5,0,19,14,15,11,10,2,7,12,8,9,1,3,18,6,13,4,17,5,0,19,14,15
10,9,1,6,11,7,8,0,2,19,5,12,3,16,4,18,15,13,14,10,9,1,6,11,7,8,0,2,19,5,12,3,16,4,18,15,13,14
9,8,0,5,10,6,7,19,1,16,4,11,2,15,3,17,14,12,13,9,8,0,5,10,6,7,19,1,16,4,11,2,15,3,17,14,12,13
4,13,9,2,14,12,3,18,0,17,11,5,10,7,1,8,16,15,6,4,13,9,2,14,12,3,18,0,17,11,5,10,7,1,8,16,15,6
