0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10,12,7,16,18,1,14,3,21,8,2,20,4,19,9,6,5,11,17,13,15,10,12,7,16,18,1,14,3,21,8,2,20,4,19,9,6,5,11,17,13,15
9,11,6,15,17,0,13,2,20,7,21,19,3,18,8,5,4,10,16,12,14,9,11,6,15,17,0,13,2,20,7,21,19,3,18,8,5,4,10,16,12,14
8,10,5,14,16,20,12,1,19,6,0,18,21,17,7,4,3,9,15,11,13,8,10,5,14,16,20,12,1,19,6,0,18,21,17,7,4,3,9,15,11,13
7,9,4,13,15,19,11,0,18,5,20,17,1,16,6,21,2,8,14,10,12,7,9,4,13,15,19,11,0,18,5,20,17,1,16,6,21,2,8,14,10,12
6,8,3,12,14,18,10,20,17,21,19,16,0,15,5,2,1,7,13,9,11,6,8,3,12,14,18,10,20,17,21,19,16,0,15,5,2,1,7,13,9,11
21,7,2,11,13,17,9,19,16,3,18,15,20,14,4,1,0,6,12,8,10,21,7,2,11,13,17,9,19,16,3,18,15,20,14,4,1,0,6,12,8,10
4,21,1,10,12,16,8,18,15,2,17,14,19,13,3,0,20,5,11,7,9,4,21,1,10,12,16,8,18,15,2,17,14,19,13,3,0,20,5,11,7,9
3,5,0,9,11,15,21,17,14,1,16,13,18,12,2,20,19,4,10,6,8,3,5,0,9,11,15,21,17,14,1,16,13,18,12,2,20,19,4,10,6,8
2,4,20,21,10,14,6,16,13,0,15,12,17,11,1,19,18,3,9,5,7,2,4,20,21,10,14,6,16,13,0,15,12,17,11,1,19,18,3,9,5,7
1,3,19,7,21,13,5,15,12,20,14,11,16,10,0,18,17,2,8,4,6,1,3,19,7,21,13,5,15,12,20,14,11,16,10,0,18,17,2,8,4,6
0,2,18,6,8,12,4,14,11,19,13,21,15,9,20,17,16,1,7,3,5,0,2,18,6,8,12,4,14,11,19,13,21,15,9,20,17,16,1,7,3,5
20,1,17,5,7,21,3,13,10,18,12,9,14,8,19,16,15,0,6,2,4,20,1,17,5,7,21,3,13,10,18,12,9,14,8,19,16,15,0,6,2,4
19,0,16,4,6,10,2,21,9,17,11,8,13,7,18,15,14,20,5,1,3,19,0,16,4,6,10,2,21,9,17,11,8,13,7,18,15,14,20,5,1,3
18,20,15,3,5,9,1,11,8,16,10,7,12,6,17,14,21,19,4,0,2,18,20,15,3,5,9,1,11,8,16,10,7,12,6,17,14,21,19,4,0,2
17,19,21,2,4,8,0,10,7,15,9,6,11,5,16,13,12,18,3,20,1,17,19,21,2,4,8,0,10,7,15,9,6,11,5,16,13,12,18,3,20,1
16,18,13,1,3,7,20,9,6,14,8,5,10,4,21,12,11,17,2,19,0,16,18,13,1,3,7,20,9,6,14,8,5,10,4,21,12,11,17,2,19,0
15,17,12,0,2,6,19,8,5,13,7,4,9,3,14,11,10,21,1,18,20,15,17,12,0,2,6,19,8,5,13,7,4,9,3,14,11,10,21,1,18,20
14,16,11,20,1,5,18,7,4,12,6,3,8,2,13,10,9,15,0,21,19,14,16,11,20,1,5,18,7,4,12,6,3,8,2,13,10,9,15,0,21,19
13,15,10,19,0,4,17,6,3,11,5,2,7,1,12,9,8,14,20,16,21,13,15,10,19,0,4,17,6,3,11,5,2,7,1,12,9,8,14,20,16,21
12,14,9,18,20,3,16,5,2,10,4,1,6,0,11,8,7,13,21,15,17,12,14,9,18,20,3,16,5,2,10,4,1,6,0,11,8,7,13,21,15,17
11,13,8,17,19,2,15,4,1,9,3,0,5,21,10,7,6,12,18,14,16,11,13,8,17,19,2,15,4,1,9,3,0,5,21,10,7,6,12,18,14,16
5,6,14,8,9,11,7,12,0,4,1,10,2,20,15,3,13,16,19,17,18,5,6,14,8,9,11,7,12,0,4,1,10,2,20,15,3,13,16,19,17,18
