0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
17,18,19,22,2,14,20,15,6,12,21,5,4,10,9,23,3,11,1,13,7,16,8,17,18,19,22,2,14,20,15,6,12,21,5,4,10,9,23,3,11,1,13,7,16,8
16,17,18,21,23,13,19,14,5,11,20,4,3,9,8,22,2,10,0,12,6,15,7,16,17,18,21,23,13,19,14,5,11,20,4,3,9,8,22,2,10,0,12,6,15,7
15,16,17,20,0,12,18,13,4,10,19,3,23,8,7,21,1,9,22,11,5,14,6,15,16,17,20,0,12,18,13,4,10,19,3,23,8,7,21,1,9,22,11,5,14,6
14,15,16,19,22,11,17,12,23,9,18,2,1,7,6,20,0,8,21,10,4,13,5,14,15,16,19,22,11,17,12,23,9,18,2,1,7,6,20,0,8,21,10,4,13,5
13,14,15,18,21,10,16,11,2,8,17,1,0,6,5,19,22,7,20,9,3,12,23,13,14,15,18,21,10,16,11,2,8,17,1,0,6,5,19,22,7,20,9,3,12,23
12,13,14,17,20,9,15,10,1,7,16,0,22,23,4,18,21,6,19,8,2,11,3,12,13,14,17,20,9,15,10,1,7,16,0,22,23,4,18,21,6,19,8,2,11,3
11,12,13,16,19,8,14,9,0,23,15,22,21,4,3,17,20,5,18,7,1,10,2,11,12,13,16,19,8,14,9,0,23,15,22,21,4,3,17,20,5,18,7,1,10,2
10,11,12,15,18,23,13,8,22,5,14,21,20,3,2,16,19,4,17,6,0,9,1,10,11,12,15,18,23,13,8,22,5,14,21,20,3,2,16,19,4,17,6,0,9,1
9,10,11,14,17,6,12,7,21,4,13,20,19,2,1,15,18,3,16,5,22,23,0,9,10,11,14,17,6,12,7,21,4,13,20,19,2,1,15,18,3,16,5,22,23,0
8,23,10,13,16,5,11,6,20,3,12,19,18,1,0,14,17,2,15,4,21,7,22,8,23,10,13,16,5,11,6,20,3,12,19,18,1,0,14,17,2,15,4,21,7,22
7,8,9,12,15,4,23,5,19,2,11,18,17,0,22,13,16,1,14,3,20,6,21,7,8,9,12,15,4,23,5,19,2,11,18,17,0,22,13,16,1,14,3,20,6,21
6,7,8,23,14,3,9,4,18,1,10,17,16,22,21,12,15,0,13,2,19,5,20,6,7,8,23,14,3,9,4,18,1,10,17,16,22,21,12,15,0,13,2,19,5,20
5,6,7,10,13,2,8,3,17,0,9,16,15,21,20,11,14,22,23,1,18,4,19,5,6,7,10,13,2,8,3,17,0,9,16,15,21,20,11,14,22,23,1,18,4,19
4,5,6,9,12,1,7,2,16,22,8,15,14,20,19,10,23,21,11,0,17,3,18,4,5,6,9,12,1,7,2,16,22,8,15,14,20,19,10,23,21,11,0,17,3,18
3,4,5,8,11,0,6,1,15,21,7,23,13,19,18,9,12,20,10,22,16,2,17,3,4,5,8,11,0,6,1,15,21,7,23,13,19,18,9,12,20,10,22,16,2,17
2,3,4,7,10,22,5,0,14,20,6,13,12,18,17,8,11,19,9,21,23,1,16,2,3,4,7,10,22,5,0,14,20,6,13,12,18,17,8,11,19,9,21,23,1,16
1,2,3,6,9,21,4,22,13,19,5,12,11,17,23,7,10,18,8,20,14,0,15,1,2,3,6,9,21,4,22,13,19,5,12,11,17,23,7,10,18,8,20,14,0,15
0,1,2,5,8,20,3,21,12,18,4,11,10,16,15,6,9,23,7,19,13,22,14,0,1,2,5,8,20,3,21,12,18,4,11,10,16,15,6,9,23,7,19,13,22,14
22,0,1,4,7,19,2,20,11,17,3,10,9,15,14,5,8,16,6,23,12,21,13,22,0,1,4,7,19,2,20,11,17,3,10,9,15,14,5,8,16,6,23,12,21,13
21,22,0,3,6,18,1,23,10,16,2,9,8,14,13,4,7,15,5,17,11,20,12,21,22,0,3,6,18,1,23,10,16,2,9,8,14,13,4,7,15,5,17,11,20,12
23,21,22,2,5,17,0,18,9,15,1,8,7,13,12,3,6,14,4,16,10,19,11,23,21,22,2,5,17,0,18,9,15,1,8,7,13,12,3,6,14,4,16,10,19,11
19,20,23,1,4,16,22,17,8,14,0,7,6,12,11,2,5,13,3,15,9,18,10,19,20,23,1,4,16,22,17,8,14,0,7,6,12,11,2,5,13,3,15,9,18,10
18,19,20,0,3,15,21,16,7,13,23,6,5,11,10,1,4,12,2,14,8,17,9,18,19,20,0,3,15,21,16,7,13,23,6,5,11,10,1,4,12,2,14,8,17,9
20,9,21,11,1,7,10,19,3,6,22,14,2,5,16,0,13,17,12,18,15,8,4,20,9,21,11,1,7,10,19,3,6,22,14,2,5,16,0,13,17,12,18,15,8,4
