0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7,4,19,9,25,22,21,24,5,17,8,15,20,10,13,2,1,23,14,3,18,11,16,12,6,7,4,19,9,25,22,21,24,5,17,8,15,20,10,13,2,1,23,14,3,18,11,16,12,6
6,3,18,8,24,21,20,23,4,16,7,14,19,9,12,25,0,22,13,2,17,10,15,11,5,6,3,18,8,24,21,20,23,4,16,7,14,19,9,12,25,0,22,13,2,17,10,15,11,5
5,25,17,7,23,20,19,22,3,15,6,13,18,8,11,0,24,21,12,1,16,9,14,10,4,5,25,17,7,23,20,19,22,3,15,6,13,18,8,11,0,24,21,12,1,16,9,14,10,4
4,1,16,6,22,19,18,21,2,14,5,12,17,7,10,24,23,20,11,0,15,8,13,9,25,4,1,16,6,22,19,18,21,2,14,5,12,17,7,10,24,23,20,11,0,15,8,13,9,25
3,0,15,5,21,18,17,20,1,13,25,11,16,6,9,23,22,19,10,24,14,7,12,8,2,3,0,15,5,21,18,17,20,1,13,25,11,16,6,9,23,22,19,10,24,14,7,12,8,2
2,24,14,4,20,17,16,19,0,12,3,10,15,25,8,22,21,18,9,23,13,6,11,7,1,2,24,14,4,20,17,16,19,0,12,3,10,15,25,8,22,21,18,9,23,13,6,11,7,1
1,23,13,3,19,16,15,18,24,11,2,9,14,4,7,21,20,17,8,22,12,5,10,25,0,1,23,13,3,19,16,15,18,24,11,2,9,14,4,7,21,20,17,8,22,12,5,10,25,0
0,22,12,2,18,15,14,17,23,10,1,8,13,3,6,20,19,16,25,21,11,4,9,5,24,0,22,12,2,18,15,14,17,23,10,1,8,13,3,6,20,19,16,25,21,11,4,9,5,24
24,21,11,1,17,14,13,16,22,9,0,7,12,2,5,19,18,15,6,20,10,3,25,4,23,24,21,11,1,17,14,13,16,22,9,0,7,12,2,5,19,18,15,6,20,10,3,25,4,23
23,20,10,0,16,13,12,15,21,8,24,6,11,1,4,18,17,14,5,19,25,2,7,3,22,23,20,10,0,16,13,12,15,21,8,24,6,11,1,4,18,17,14,5,19,25,2,7,3,22
22,19,9,24,15,12,11,14,20,7,23,5,25,0,3,17,16,13,4,18,8,1,6,2,21,22,19,9,24,15,12,11,14,20,7,23,5,25,0,3,17,16,13,4,18,8,1,6,2,21
21,18,8,23,14,25,10,13,19,6,22,4,9,24,2,16,15,12,3,17,7,0,5,1,20,21,18,8,23,14,25,10,13,19,6,22,4,9,24,2,16,15,12,3,17,7,0,5,1,20
20,17,7,22,13,10,9,25,18,5,21,3,8,23,1,15,14,11,2,16,6,24,4,0,19,20,17,7,22,13,10,9,25,18,5,21,3,8,23,1,15,14,11,2,16,6,24,4,0,19
19,16,6,21,12,9,8,11,17,4,20,2,7,22,0,14,25,10,1,15,5,23,3,24,18,19,16,6,21,12,9,8,11,17,4,20,2,7,22,0,14,25,10,1,15,5,23,3,24,18
18,15,5,20,11,8,7,10,16,3,19,1,6,21,24,13,12,9,0,25,4,22,2,23,17,18,15,5,20,11,8,7,10,16,3,19,1,6,21,24,13,12,9,0,25,4,22,2,23,17
17,14,4,19,10,7,6,9,25,2,18,0,5,20,23,12,11,8,24,13,3,21,1,22,16,17,14,4,19,10,7,6,9,25,2,18,0,5,20,23,12,11,8,24,13,3,21,1,22,16
25,13,3,18,9,6,5,8,14,1,17,24,4,19,22,11,10,7,23,12,2,20,0,21,15,25,13,3,18,9,6,5,8,14,1,17,24,4,19,22,11,10,7,23,12,2,20,0,21,15
15,12,2,25,8,5,4,7,13,0,16,23,3,18,21,10,9,6,22,11,1,19,24,20,14,15,12,2,25,8,5,4,7,13,0,16,23,3,18,21,10,9,6,22,11,1,19,24,20,14
14,11,1,16,7,4,3,6,12,24,15,22,2,17,20,9,8,5,21,10,0,25,23,19,13,14,11,1,16,7,4,3,6,12,24,15,22,2,17,20,9,8,5,21,10,0,25,23,19,13
13,10,0,15,6,3,2,5,11,23,14,21,1,16,25,8,7,4,20,9,24,17,22,18,12,13,10,0,15,6,3,2,5,11,23,14,21,1,16,25,8,7,4,20,9,24,17,22,18,12
12,9,24,14,5,2,1,4,10,22,13,25,0,15,18,7,6,3,19,8,23,16,21,17,11,12,9,24,14,5,2,1,4,10,22,13,25,0,15,18,7,6,3,19,8,23,16,21,17,11
11,8,23,13,4,1,0,3,9,25,12,19,24,14,17,6,5,2,18,7,22,15,20,16,10,11,8,23,13,4,1,0,3,9,25,12,19,24,14,17,6,5,2,18,7,22,15,20,16,10
10,7,25,12,3,0,24,2,8,20,11,18,23,13,16,5,4,1,17,6,21,14,19,15,9,10,7,25,12,3,0,24,2,8,20,11,18,23,13,16,5,4,1,17,6,21,14,19,15,9
9,6,21,11,2,24,25,1,7,19,10,17,22,12,15,4,3,0,16,5,20,13,18,14,8,9,6,21,11,2,24,25,1,7,19,10,17,22,12,15,4,3,0,16,5,20,13,18,14,8
8,5,20,10,1,23,22,0,6,18,9,16,21,11,14,3,2,25,15,4,19,12,17,13,7,8,5,20,10,1,23,22,0,6,18,9,16,21,11,14,3,2,25,15,4,19,12,17,13,7
16,2,22,17,0,11,23,12,15,21,4,20,10,5,19,1,13,24,7,14,9,18,8,6,3,16,2,22,17,0,11,23,12,15,21,4,20,10,5,19,1,13,24,7,14,9,18,8,6,3
