0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
11,24,27,21,19,23,22,7,2,14,10,1,18,20,17,25,16,13,26,4,6,9,3,8,15,5,12,11,24,27,21,19,23,22,7,2,14,10,1,18,20,17,25,16,13,26,4,6,9,3,8,15,5,12
10,23,26,20,18,22,21,6,27,13,9,0,17,19,16,24,15,12,25,3,5,8,2,7,14,4,11,10,23,26,20,18,22,21,6,27,13,9,0,17,19,16,24,15,12,25,3,5,8,2,7,14,4,11
9,22,25,19,17,21,20,5,0,12,8,26,16,18,15,23,14,11,24,27,4,7,1,6,13,3,10,9,22,25,19,17,21,20,5,0,12,8,26,16,18,15,23,14,11,24,27,4,7,1,6,13,3,10
8,21,24,18,16,20,19,4,26,11,7,25,15,17,14,22,13,10,23,1,27,6,0,5,12,2,9,8,21,24,18,16,20,19,4,26,11,7,25,15,17,14,22,13,10,23,1,27,6,0,5,12,2,9
7,20,23,17,15,19,18,3,25,10,6,24,14,16,13,21,12,9,22,0,2,5,26,27,11,1,8,7,20,23,17,15,19,18,3,25,10,6,24,14,16,13,21,12,9,22,0,2,5,26,27,11,1,8
6,19,22,16,14,18,17,2,24,9,27,23,13,15,12,20,11,8,21,26,1,4,25,3,10,0,7,6,19,22,16,14,18,17,2,24,9,27,23,13,15,12,20,11,8,21,26,1,4,25,3,10,0,7
5,18,21,15,13,17,16,1,23,8,4,22,12,14,11,19,10,7,20,25,0,3,24,2,9,26,27,5,18,21,15,13,17,16,1,23,8,4,22,12,14,11,19,10,7,20,25,0,3,24,2,9,26,27
4,17,20,14,12,16,15,0,22,27,3,21,11,13,10,18,9,6,19,24,26,2,23,1,8,25,5,4,17,20,14,12,16,15,0,22,27,3,21,11,13,10,18,9,6,19,24,26,2,23,1,8,25,5
3,16,19,13,11,15,14,26,21,6,2,20,10,12,9,17,27,5,18,23,25,1,22,0,7,24,4,3,16,19,13,11,15,14,26,21,6,2,20,10,12,9,17,27,5,18,23,25,1,22,0,7,24,4
2,15,18,12,10,14,13,25,20,5,1,19,27,11,8,16,7,4,17,22,24,0,21,26,6,23,3,2,15,18,12,10,14,13,25,20,5,1,19,27,11,8,16,7,4,17,22,24,0,21,26,6,23,3
1,14,17,11,9,13,12,24,19,4,0,18,8,27,7,15,6,3,16,21,23,26,20,25,5,22,2,1,14,17,11,9,13,12,24,19,4,0,18,8,27,7,15,6,3,16,21,23,26,20,25,5,22,2
0,13,16,10,8,12,27,23,18,3,26,17,7,9,6,14,5,2,15,20,22,25,19,24,4,21,1,0,13,16,10,8,12,27,23,18,3,26,17,7,9,6,14,5,2,15,20,22,25,19,24,4,21,1
