0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
22,5,2,15,9,29,28,4,12,14,7,6,17,19,24,11,18,26,25,10,3,27,13,21,1,20,23,8,16,22,5,2,15,9,29,28,4,12,14,7,6,17,19,24,11,18,26,25,10,3,27,13,21,1,20,23,8,16
21,4,29,14,8,28,27,3,11,13,6,5,16,18,23,10,17,25,24,9,2,26,12,20,0,19,22,7,15,21,4,29,14,8,28,27,3,11,13,6,5,16,18,23,10,17,25,24,9,2,26,12,20,0,19,22,7,15
20,3,0,13,7,27,26,29,10,12,5,4,15,17,22,9,16,24,23,8,1,25,11,19,28,18,21,6,14,20,3,0,13,7,27,26,29,10,12,5,4,15,17,22,9,16,24,23,8,1,25,11,19,28,18,21,6,14
19,2,28,12,6,26,25,1,9,11,4,29,14,16,21,8,15,23,22,7,0,24,10,18,27,17,20,5,13,19,2,28,12,6,26,25,1,9,11,4,29,14,16,21,8,15,23,22,7,0,24,10,18,27,17,20,5,13
18,1,27,11,5,25,24,0,8,10,3,2,13,15,20,7,14,22,21,6,28,23,9,17,26,16,19,29,12,18,1,27,11,5,25,24,0,8,10,3,2,13,15,20,7,14,22,21,6,28,23,9,17,26,16,19,29,12
17,0,26,10,4,24,23,28,7,9,2,1,12,14,19,6,13,21,20,29,27,22,8,16,25,15,18,3,11,17,0,26,10,4,24,23,28,7,9,2,1,12,14,19,6,13,21,20,29,27,22,8,16,25,15,18,3,11
16,28,25,9,3,23,22,27,29,8,1,0,11,13,18,5,12,20,19,4,26,21,7,15,24,14,17,2,10,16,28,25,9,3,23,22,27,29,8,1,0,11,13,18,5,12,20,19,4,26,21,7,15,24,14,17,2,10
15,27,24,8,2,22,21,26,5,29,0,28,10,12,17,4,11,19,18,3,25,20,6,14,23,13,16,1,9,15,27,24,8,2,22,21,26,5,29,0,28,10,12,17,4,11,19,18,3,25,20,6,14,23,13,16,1,9
14,26,23,7,1,21,20,25,4,6,28,27,9,11,16,3,10,18,17,2,24,19,5,13,22,12,15,0,29,14,26,23,7,1,21,20,25,4,6,28,27,9,11,16,3,10,18,17,2,24,19,5,13,22,12,15,0,29
13,25,22,6,0,20,19,24,3,5,27,26,8,10,15,2,29,17,16,1,23,18,4,12,21,11,14,28,7,13,25,22,6,0,20,19,24,3,5,27,26,8,10,15,2,29,17,16,1,23,18,4,12,21,11,14,28,7
