0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
28,3,18,25,20,29,9,13,21,24,30,15,19,23,22,1,16,14,10,26,12,11,8,2,31,5,4,7,27,17,6,28,3,18,25,20,29,9,13,21,24,30,15,19,23,22,1,16,14,10,26,12,11,8,2,31,5,4,7,27,17,6
27,2,17,24,19,28,8,12,20,23,29,14,18,22,21,0,15,13,9,25,11,10,7,31,30,4,3,6,26,16,5,27,2,17,24,19,28,8,12,20,23,29,14,18,22,21,0,15,13,9,25,11,10,7,31,30,4,3,6,26,16,5
26,1,16,23,18,27,7,11,19,22,28,13,17,21,20,30,14,12,8,24,10,9,6,0,29,3,31,5,25,15,4,26,1,16,23,18,27,7,11,19,22,28,13,17,21,20,30,14,12,8,24,10,9,6,0,29,3,31,5,25,15,4
25,0,15,22,17,26,6,10,18,21,27,12,16,20,19,29,13,11,7,23,9,8,5,30,28,2,1,4,24,14,31,25,0,15,22,17,26,6,10,18,21,27,12,16,20,19,29,13,11,7,23,9,8,5,30,28,2,1,4,24,14,31
24,30,14,21,16,25,5,9,17,20,26,11,15,19,18,28,12,10,6,22,8,7,31,29,27,1,0,3,23,13,2,24,30,14,21,16,25,5,9,17,20,26,11,15,19,18,28,12,10,6,22,8,7,31,29,27,1,0,3,23,13,2
23,29,13,20,15,24,4,8,16,19,25,10,14,18,17,27,11,9,31,21,7,6,3,28,26,0,30,2,22,12,1,23,29,13,20,15,24,4,8,16,19,25,10,14,18,17,27,11,9,31,21,7,6,3,28,26,0,30,2,22,12,1
22,28,12,19,14,23,3,7,15,18,24,9,13,17,16,26,10,8,4,20,31,5,2,27,25,30,29,1,21,11,0,22,28,12,19,14,23,3,7,15,18,24,9,13,17,16,26,10,8,4,20,31,5,2,27,25,30,29,1,21,11,0
21,27,11,18,13,22,2,6,14,17,23,8,12,16,15,25,9,31,3,19,5,4,1,26,24,29,28,0,20,10,30,21,27,11,18,13,22,2,6,14,17,23,8,12,16,15,25,9,31,3,19,5,4,1,26,24,29,28,0,20,10,30
20,26,10,17,12,21,1,5,13,16,22,7,11,15,14,24,31,6,2,18,4,3,0,25,23,28,27,30,19,9,29,20,26,10,17,12,21,1,5,13,16,22,7,11,15,14,24,31,6,2,18,4,3,0,25,23,28,27,30,19,9,29
19,25,31,16,11,20,0,4,12,15,21,6,10,14,13,23,7,5,1,17,3,2,30,24,22,27,26,29,18,8,28,19,25,31,16,11,20,0,4,12,15,21,6,10,14,13,23,7,5,1,17,3,2,30,24,22,27,26,29,18,8,28
18,24,8,15,31,19,30,3,11,14,20,5,9,13,12,22,6,4,0,16,2,1,29,23,21,26,25,28,17,7,27,18,24,8,15,31,19,30,3,11,14,20,5,9,13,12,22,6,4,0,16,2,1,29,23,21,26,25,28,17,7,27
17,23,7,14,9,18,29,2,10,13,19,4,8,12,31,21,5,3,30,15,1,0,28,22,20,25,24,27,16,6,26,17,23,7,14,9,18,29,2,10,13,19,4,8,12,31,21,5,3,30,15,1,0,28,22,20,25,24,27,16,6,26
16,22,6,13,8,17,28,1,9,31,18,3,7,11,10,20,4,2,29,14,0,30,27,21,19,24,23,26,15,5,25,16,22,6,13,8,17,28,1,9,31,18,3,7,11,10,20,4,2,29,14,0,30,27,21,19,24,23,26,15,5,25
15,21,5,12,7,16,27,0,8,11,17,2,6,10,9,19,3,1,28,31,30,29,26,20,18,23,22,25,14,4,24,15,21,5,12,7,16,27,0,8,11,17,2,6,10,9,19,3,1,28,31,30,29,26,20,18,23,22,25,14,4,24
31,20,4,11,6,15,26,30,7,10,16,1,5,9,8,18,2,0,27,12,29,28,25,19,17,22,21,24,13,3,23,31,20,4,11,6,15,26,30,7,10,16,1,5,9,8,18,2,0,27,12,29,28,25,19,17,22,21,24,13,3,23
13,19,3,10,5,14,25,29,6,9,31,0,4,8,7,17,1,30,26,11,28,27,24,18,16,21,20,23,12,2,22,13,19,3,10,5,14,25,29,6,9,31,0,4,8,7,17,1,30,26,11,28,27,24,18,16,21,20,23,12,2,22
12,18,2,9,4,13,24,28,5,8,14,30,3,7,6,31,0,29,25,10,27,26,23,17,15,20,19,22,11,1,21,12,18,2,9,4,13,24,28,5,8,14,30,3,7,6,31,0,29,25,10,27,26,23,17,15,20,19,22,11,1,21
11,31,1,8,3,12,23,27,4,7,13,29,2,6,5,15,30,28,24,9,26,25,22,16,14,19,18,21,10,0,20,11,31,1,8,3,12,23,27,4,7,13,29,2,6,5,15,30,28,24,9,26,25,22,16,14,19,18,21,10,0,20
10,16,0,7,2,11,22,26,3,6,12,28,1,5,4,14,29,27,23,8,25,24,21,15,13,31,17,20,9,30,19,10,16,0,7,2,11,22,26,3,6,12,28,1,5,4,14,29,27,23,8,25,24,21,15,13,31,17,20,9,30,19
9,15,30,6,1,10,21,25,2,5,11,27,0,4,3,13,28,26,22,7,24,23,20,14,12,17,16,31,8,29,18,9,15,30,6,1,10,21,25,2,5,11,27,0,4,3,13,28,26,22,7,24,23,20,14,12,17,16,31,8,29,18
8,14,29,5,0,9,31,24,1,4,10,26,30,3,2,12,27,25,21,6,23,22,19,13,11,16,15,18,7,28,17,8,14,29,5,0,9,31,24,1,4,10,26,30,3,2,12,27,25,21,6,23,22,19,13,11,16,15,18,7,28,17
7,13,28,4,30,8,19,23,0,3,9,25,29,2,1,11,26,24,20,5,22,31,18,12,10,15,14,17,6,27,16,7,13,28,4,30,8,19,23,0,3,9,25,29,2,1,11,26,24,20,5,22,31,18,12,10,15,14,17,6,27,16
6,12,27,3,29,7,18,31,30,2,8,24,28,1,0,10,25,23,19,4,21,20,17,11,9,14,13,16,5,26,15,6,12,27,3,29,7,18,31,30,2,8,24,28,1,0,10,25,23,19,4,21,20,17,11,9,14,13,16,5,26,15
5,11,26,2,28,6,17,21,29,1,7,31,27,0,30,9,24,22,18,3,20,19,16,10,8,13,12,15,4,25,14,5,11,26,2,28,6,17,21,29,1,7,31,27,0,30,9,24,22,18,3,20,19,16,10,8,13,12,15,4,25,14
4,10,25,1,27,5,16,20,28,0,6,22,26,30,29,8,23,21,17,2,19,18,15,9,7,12,11,14,3,31,13,4,10,25,1,27,5,16,20,28,0,6,22,26,30,29,8,23,21,17,2,19,18,15,9,7,12,11,14,3,31,13
3,9,24,0,26,4,15,19,27,30,5,21,31,29,28,7,22,20,16,1,18,17,14,8,6,11,10,13,2,23,12,3,9,24,0,26,4,15,19,27,30,5,21,31,29,28,7,22,20,16,1,18,17,14,8,6,11,10,13,2,23,12
2,8,23,30,25,3,14,18,31,29,4,20,24,28,27,6,21,19,15,0,17,16,13,7,5,10,9,12,1,22,11,2,8,23,30,25,3,14,18,31,29,4,20,24,28,27,6,21,19,15,0,17,16,13,7,5,10,9,12,1,22,11
1,7,22,29,24,2,13,17,25,28,3,19,23,31,26,5,20,18,14,30,16,15,12,6,4,9,8,11,0,21,10,1,7,22,29,24,2,13,17,25,28,3,19,23,31,26,5,20,18,14,30,16,15,12,6,4,9,8,11,0,21,10
0,6,21,31,23,1,12,16,24,27,2,18,22,26,25,4,19,17,13,29,15,14,11,5,3,8,7,10,30,20,9,0,6,21,31,23,1,12,16,24,27,2,18,22,26,25,4,19,17,13,29,15,14,11,5,3,8,7,10,30,20,9
30,5,20,27,22,0,11,15,23,26,1,17,21,25,24,3,18,16,12,28,14,13,10,4,2,7,6,9,31,19,8,30,5,20,27,22,0,11,15,23,26,1,17,21,25,24,3,18,16,12,28,14,13,10,4,2,7,6,9,31,19,8
29,4,19,26,21,31,10,14,22,25,0,16,20,24,23,2,17,15,11,27,13,12,9,3,1,6,5,8,28,18,7,29,4,19,26,21,31,10,14,22,25,0,16,20,24,23,2,17,15,11,27,13,12,9,3,1,6,5,8,28,18,7
14,17,9,28,10,30,20,22,26,12,15,23,25,27,11,16,8,7,5,13,6,21,4,1,0,18,2,19,29,24,3,14,17,9,28,10,30,20,22,26,12,15,23,25,27,11,16,8,7,5,13,6,21,4,1,0,18,2,19,29,24,3
