0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
15,25,9,17,32,13,22,8,4,26,19,7,2,24,1,28,21,16,30,18,31,12,14,29,20,3,5,6,33,23,11,10,27,15,25,9,17,32,13,22,8,4,26,19,7,2,24,1,28,21,16,30,18,31,12,14,29,20,3,5,6,33,23,11,10,27
14,24,8,16,31,12,21,7,3,25,18,6,33,23,0,27,20,15,29,17,30,11,13,28,19,2,4,5,32,22,10,9,26,14,24,8,16,31,12,21,7,3,25,18,6,33,23,0,27,20,15,29,17,30,11,13,28,19,2,4,5,32,22,10,9,26
13,23,7,15,30,11,20,6,33,24,17,5,0,22,32,26,19,14,28,16,29,10,12,27,18,1,3,4,31,21,9,8,25,13,23,7,15,30,11,20,6,33,24,17,5,0,22,32,26,19,14,28,16,29,10,12,27,18,1,3,4,31,21,9,8,25
12,22,6,14,29,10,19,5,1,23,16,4,32,21,31,25,18,13,27,15,28,9,11,26,17,0,2,33,30,20,8,7,24,12,22,6,14,29,10,19,5,1,23,16,4,32,21,31,25,18,13,27,15,28,9,11,26,17,0,2,33,30,20,8,7,24
11,21,5,13,28,9,18,33,0,22,15,3,31,20,30,24,17,12,26,14,27,8,10,25,16,32,1,2,29,19,7,6,23,11,21,5,13,28,9,18,33,0,22,15,3,31,20,30,24,17,12,26,14,27,8,10,25,16,32,1,2,29,19,7,6,23
10,20,4,12,27,8,17,3,32,21,14,2,30,19,29,23,16,11,25,13,26,7,9,24,15,31,0,1,28,18,6,33,22,10,20,4,12,27,8,17,3,32,21,14,2,30,19,29,23,16,11,25,13,26,7,9,24,15,31,0,1,28,18,6,33,22
9,19,3,11,26,7,16,2,31,20,13,1,29,18,28,22,15,10,24,12,25,33,8,23,14,30,32,0,27,17,5,4,21,9,19,3,11,26,7,16,2,31,20,13,1,29,18,28,22,15,10,24,12,25,33,8,23,14,30,32,0,27,17,5,4,21
8,18,2,10,25,6,15,1,30,19,12,0,28,17,27,21,14,9,23,11,24,5,33,22,13,29,31,32,26,16,4,3,20,8,18,2,10,25,6,15,1,30,19,12,0,28,17,27,21,14,9,23,11,24,5,33,22,13,29,31,32,26,16,4,3,20
7,17,1,9,24,5,14,0,29,18,11,32,27,16,26,20,13,33,22,10,23,4,6,21,12,28,30,31,25,15,3,2,19,7,17,1,9,24,5,14,0,29,18,11,32,27,16,26,20,13,33,22,10,23,4,6,21,12,28,30,31,25,15,3,2,19
6,16,0,8,23,4,13,32,28,17,10,31,26,15,25,19,12,7,21,33,22,3,5,20,11,27,29,30,24,14,2,1,18,6,16,0,8,23,4,13,32,28,17,10,31,26,15,25,19,12,7,21,33,22,3,5,20,11,27,29,30,24,14,2,1,18
5,15,32,7,22,3,12,31,27,16,9,30,25,14,24,18,11,6,20,8,21,2,4,19,33,26,28,29,23,13,1,0,17,5,15,32,7,22,3,12,31,27,16,9,30,25,14,24,18,11,6,20,8,21,2,4,19,33,26,28,29,23,13,1,0,17
4,14,31,6,21,2,33,30,26,15,8,29,24,13,23,17,10,5,19,7,20,1,3,18,9,25,27,28,22,12,0,32,16,4,14,31,6,21,2,33,30,26,15,8,29,24,13,23,17,10,5,19,7,20,1,3,18,9,25,27,28,22,12,0,32,16
3,13,30,5,20,1,10,29,25,14,7,28,23,33,22,16,9,4,18,6,19,0,2,17,8,24,26,27,21,11,32,31,15,3,13,30,5,20,1,10,29,25,14,7,28,23,33,22,16,9,4,18,6,19,0,2,17,8,24,26,27,21,11,32,31,15
2,12,29,4,19,0,9,28,24,33,6,27,22,11,21,15,8,3,17,5,18,32,1,16,7,23,25,26,20,10,31,30,14,2,12,29,4,19,0,9,28,24,33,6,27,22,11,21,15,8,3,17,5,18,32,1,16,7,23,25,26,20,10,31,30,14
1,11,28,3,18,32,8,27,23,12,5,26,21,10,20,33,7,2,16,4,17,31,0,15,6,22,24,25,19,9,30,29,13,1,11,28,3,18,32,8,27,23,12,5,26,21,10,20,33,7,2,16,4,17,31,0,15,6,22,24,25,19,9,30,29,13
0,10,27,2,17,31,7,26,22,11,4,25,20,9,19,13,6,1,33,3,16,30,32,14,5,21,23,24,18,8,29,28,12,0,10,27,2,17,31,7,26,22,11,4,25,20,9,19,13,6,1,33,3,16,30,32,14,5,21,23,24,18,8,29,28,12
32,9,26,1,33,30,6,25,21,10,3,24,19,8,18,12,5,0,14,2,15,29,31,13,4,20,22,23,17,7,28,27,11,32,9,26,1,33,30,6,25,21,10,3,24,19,8,18,12,5,0,14,2,15,29,31,13,4,20,22,23,17,7,28,27,11
31,8,25,0,15,29,5,24,20,9,2,23,18,7,33,11,4,32,13,1,14,28,30,12,3,19,21,22,16,6,27,26,10,31,8,25,0,15,29,5,24,20,9,2,23,18,7,33,11,4,32,13,1,14,28,30,12,3,19,21,22,16,6,27,26,10
30,7,24,32,14,28,4,23,19,8,1,22,17,6,16,10,3,31,12,0,13,27,29,11,2,33,20,21,15,5,26,25,9,30,7,24,32,14,28,4,23,19,8,1,22,17,6,16,10,3,31,12,0,13,27,29,11,2,33,20,21,15,5,26,25,9
29,6,23,31,13,27,3,22,18,7,0,21,16,5,15,9,2,30,11,32,12,26,28,10,1,17,33,20,14,4,25,24,8,29,6,23,31,13,27,3,22,18,7,0,21,16,5,15,9,2,30,11,32,12,26,28,10,1,17,33,20,14,4,25,24,8
28,5,22,30,12,26,2,21,17,6,32,33,15,4,14,8,1,29,10,31,11,25,27,9,0,16,18,19,13,3,24,23,7,28,5,22,30,12,26,2,21,17,6,32,33,15,4,14,8,1,29,10,31,11,25,27,9,0,16,18,19,13,3,24,23,7
27,4,33,29,11,25,1,20,16,5,31,19,14,3,13,7,0,28,9,30,10,24,26,8,32,15,17,18,12,2,23,22,6,27,4,33,29,11,25,1,20,16,5,31,19,14,3,13,7,0,28,9,30,10,24,26,8,32,15,17,18,12,2,23,22,6
26,3,20,28,10,24,0,19,15,4,30,18,13,2,12,6,32,27,8,29,9,23,25,7,31,14,16,17,11,1,33,21,5,26,3,20,28,10,24,0,19,15,4,30,18,13,2,12,6,32,27,8,29,9,23,25,7,31,14,16,17,11,1,33,21,5
25,2,19,27,9,33,32,18,14,3,29,17,12,1,11,5,31,26,7,28,8,22,24,6,30,13,15,16,10,0,21,20,4,25,2,19,27,9,33,32,18,14,3,29,17,12,1,11,5,31,26,7,28,8,22,24,6,30,13,15,16,10,0,21,20,4
33,1,18,26,8,22,31,17,13,2,28,16,11,0,10,4,30,25,6,27,7,21,23,5,29,12,14,15,9,32,20,19,3,33,1,18,26,8,22,31,17,13,2,28,16,11,0,10,4,30,25,6,27,7,21,23,5,29,12,14,15,9,32,20,19,3
