0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,29,30,24,21,35,2,13,32,31,10,5,28,20,27,9,4,19,26,23,34,11,14,33,7,22,17,3,15,16,8,25,12,18,6,1,29,30,24,21,35,2,13,32,31,10,5,28,20,27,9,4,19,26,23,34,11,14,33,7,22,17,3,15,16,8,25,12,18,6
0,28,29,23,20,34,35,12,31,30,9,4,27,19,26,8,3,18,25,22,33,10,13,32,6,21,16,2,14,15,7,24,11,17,5,0,28,29,23,20,34,35,12,31,30,9,4,27,19,26,8,3,18,25,22,33,10,13,32,6,21,16,2,14,15,7,24,11,17,5
34,27,28,22,19,33,0,11,30,29,8,3,26,18,25,7,35,17,24,21,32,9,12,31,5,20,15,1,13,14,6,23,10,16,4,34,27,28,22,19,33,0,11,30,29,8,3,26,18,25,7,35,17,24,21,32,9,12,31,5,20,15,1,13,14,6,23,10,16,4
33,26,27,21,18,32,34,10,29,28,7,2,25,17,24,6,1,16,23,20,31,8,11,30,4,19,14,0,12,13,5,22,9,15,35,33,26,27,21,18,32,34,10,29,28,7,2,25,17,24,6,1,16,23,20,31,8,11,30,4,19,14,0,12,13,5,22,9,15,35
32,25,26,20,17,31,33,9,28,27,6,1,24,16,23,5,0,15,22,19,30,7,10,29,3,18,13,34,11,12,35,21,8,14,2,32,25,26,20,17,31,33,9,28,27,6,1,24,16,23,5,0,15,22,19,30,7,10,29,3,18,13,34,11,12,35,21,8,14,2
31,24,25,19,16,30,32,8,27,26,35,0,23,15,22,4,34,14,21,18,29,6,9,28,2,17,12,33,10,11,3,20,7,13,1,31,24,25,19,16,30,32,8,27,26,35,0,23,15,22,4,34,14,21,18,29,6,9,28,2,17,12,33,10,11,3,20,7,13,1
30,23,24,18,15,29,31,7,26,25,4,34,22,14,21,3,33,13,20,17,28,5,8,27,1,16,11,32,9,10,2,19,35,12,0,30,23,24,18,15,29,31,7,26,25,4,34,22,14,21,3,33,13,20,17,28,5,8,27,1,16,11,32,9,10,2,19,35,12,0
29,22,23,17,14,28,30,6,25,24,3,33,21,13,20,2,32,12,19,16,27,4,35,26,0,15,10,31,8,9,1,18,5,11,34,29,22,23,17,14,28,30,6,25,24,3,33,21,13,20,2,32,12,19,16,27,4,35,26,0,15,10,31,8,9,1,18,5,11,34
28,21,22,16,13,27,29,5,24,23,2,32,20,12,19,1,31,11,18,15,26,3,6,25,34,14,9,30,7,35,0,17,4,10,33,28,21,22,16,13,27,29,5,24,23,2,32,20,12,19,1,31,11,18,15,26,3,6,25,34,14,9,30,7,35,0,17,4,10,33
27,20,21,15,12,26,28,4,23,22,1,31,19,11,18,0,30,10,17,14,25,2,5,24,33,13,8,29,6,7,34,16,3,35,32,27,20,21,15,12,26,28,4,23,22,1,31,19,11,18,0,30,10,17,14,25,2,5,24,33,13,8,29,6,7,34,16,3,35,32
26,19,20,14,11,25,27,3,22,21,0,30,18,35,17,34,29,9,16,13,24,1,4,23,32,12,7,28,5,6,33,15,2,8,31,26,19,20,14,11,25,27,3,22,21,0,30,18,35,17,34,29,9,16,13,24,1,4,23,32,12,7,28,5,6,33,15,2,8,31
25,18,19,13,10,24,26,2,21,20,34,29,17,9,16,33,28,8,15,12,23,0,3,22,31,35,6,27,4,5,32,14,1,7,30,25,18,19,13,10,24,26,2,21,20,34,29,17,9,16,33,28,8,15,12,23,0,3,22,31,35,6,27,4,5,32,14,1,7,30
24,17,18,35,9,23,25,1,20,19,33,28,16,8,15,32,27,7,14,11,22,34,2,21,30,10,5,26,3,4,31,13,0,6,29,24,17,18,35,9,23,25,1,20,19,33,28,16,8,15,32,27,7,14,11,22,34,2,21,30,10,5,26,3,4,31,13,0,6,29
23,16,17,11,8,22,24,0,19,18,32,27,15,7,14,31,26,6,35,10,21,33,1,20,29,9,4,25,2,3,30,12,34,5,28,23,16,17,11,8,22,24,0,19,18,32,27,15,7,14,31,26,6,35,10,21,33,1,20,29,9,4,25,2,3,30,12,34,5,28
22,15,16,10,7,21,23,34,18,17,31,26,35,6,13,30,25,5,12,9,20,32,0,19,28,8,3,24,1,2,29,11,33,4,27,22,15,16,10,7,21,23,34,18,17,31,26,35,6,13,30,25,5,12,9,20,32,0,19,28,8,3,24,1,2,29,11,33,4,27
21,14,35,9,6,20,22,33,17,16,30,25,13,5,12,29,24,4,11,8,19,31,34,18,27,7,2,23,0,1,28,10,32,3,26,21,14,35,9,6,20,22,33,17,16,30,25,13,5,12,29,24,4,11,8,19,31,34,18,27,7,2,23,0,1,28,10,32,3,26
20,13,14,8,5,19,21,32,35,15,29,24,12,4,11,28,23,3,10,7,18,30,33,17,26,6,1,22,34,0,27,9,31,2,25,20,13,14,8,5,19,21,32,35,15,29,24,12,4,11,28,23,3,10,7,18,30,33,17,26,6,1,22,34,0,27,9,31,2,25
19,12,13,7,4,18,20,31,15,14,28,23,11,3,10,27,22,2,9,6,35,29,32,16,25,5,0,21,33,34,26,8,30,1,24,19,12,13,7,4,18,20,31,15,14,28,23,11,3,10,27,22,2,9,6,35,29,32,16,25,5,0,21,33,34,26,8,30,1,24
35,11,12,6,3,17,19,30,14,13,27,22,10,2,9,26,21,1,8,5,16,28,31,15,24,4,34,20,32,33,25,7,29,0,23,35,11,12,6,3,17,19,30,14,13,27,22,10,2,9,26,21,1,8,5,16,28,31,15,24,4,34,20,32,33,25,7,29,0,23
17,10,11,5,2,16,18,29,13,12,26,21,9,1,8,25,20,0,7,4,15,27,30,14,23,3,33,35,31,32,24,6,28,34,22,17,10,11,5,2,16,18,29,13,12,26,21,9,1,8,25,20,0,7,4,15,27,30,14,23,3,33,35,31,32,24,6,28,34,22
16,9,10,4,1,15,17,28,12,11,25,35,8,0,7,24,19,34,6,3,14,26,29,13,22,2,32,18,30,31,23,5,27,33,21,16,9,10,4,1,15,17,28,12,11,25,35,8,0,7,24,19,34,6,3,14,26,29,13,22,2,32,18,30,31,23,5,27,33,21
15,8,9,3,0,14,16,27,11,10,24,19,7,34,6,23,18,33,5,2,13,25,28,12,35,1,31,17,29,30,22,4,26,32,20,15,8,9,3,0,14,16,27,11,10,24,19,7,34,6,23,18,33,5,2,13,25,28,12,35,1,31,17,29,30,22,4,26,32,20
14,7,8,2,34,13,15,26,10,9,23,18,6,33,5,35,17,32,4,1,12,24,27,11,20,0,30,16,28,29,21,3,25,31,19,14,7,8,2,34,13,15,26,10,9,23,18,6,33,5,35,17,32,4,1,12,24,27,11,20,0,30,16,28,29,21,3,25,31,19
13,6,7,1,33,12,14,25,9,8,22,17,5,32,4,21,16,31,3,0,11,35,26,10,19,34,29,15,27,28,20,2,24,30,18,13,6,7,1,33,12,14,25,9,8,22,17,5,32,4,21,16,31,3,0,11,35,26,10,19,34,29,15,27,28,20,2,24,30,18
12,5,6,0,32,11,13,35,8,7,21,16,4,31,3,20,15,30,2,34,10,22,25,9,18,33,28,14,26,27,19,1,23,29,17,12,5,6,0,32,11,13,35,8,7,21,16,4,31,3,20,15,30,2,34,10,22,25,9,18,33,28,14,26,27,19,1,23,29,17
11,4,5,34,31,10,12,23,7,6,20,15,3,30,2,19,14,29,1,33,9,21,24,8,17,32,27,13,35,26,18,0,22,28,16,11,4,5,34,31,10,12,23,7,6,20,15,3,30,2,19,14,29,1,33,9,21,24,8,17,32,27,13,35,26,18,0,22,28,16
10,3,4,33,30,9,11,22,6,5,19,14,2,29,1,18,13,28,0,32,8,20,23,7,16,31,35,12,24,25,17,34,21,27,15,10,3,4,33,30,9,11,22,6,5,19,14,2,29,1,18,13,28,0,32,8,20,23,7,16,31,35,12,24,25,17,34,21,27,15
9,2,3,32,29,8,10,21,5,4,18,13,1,28,0,17,12,35,34,31,7,19,22,6,15,30,25,11,23,24,16,33,20,26,14,9,2,3,32,29,8,10,21,5,4,18,13,1,28,0,17,12,35,34,31,7,19,22,6,15,30,25,11,23,24,16,33,20,26,14
8,1,2,31,35,7,9,20,4,3,17,12,0,27,34,16,11,26,33,30,6,18,21,5,14,29,24,10,22,23,15,32,19,25,13,8,1,2,31,35,7,9,20,4,3,17,12,0,27,34,16,11,26,33,30,6,18,21,5,14,29,24,10,22,23,15,32,19,25,13
7,0,1,30,27,6,8,19,3,2,16,11,34,26,33,15,10,25,32,35,5,17,20,4,13,28,23,9,21,22,14,31,18,24,12,7,0,1,30,27,6,8,19,3,2,16,11,34,26,33,15,10,25,32,35,5,17,20,4,13,28,23,9,21,22,14,31,18,24,12
6,34,0,29,26,5,7,18,2,1,15,10,33,25,32,14,9,24,31,28,4,16,19,3,12,27,22,8,20,21,13,35,17,23,11,6,34,0,29,26,5,7,18,2,1,15,10,33,25,32,14,9,24,31,28,4,16,19,3,12,27,22,8,20,21,13,35,17,23,11
