0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
23,7,19,10,1,20,30,22,8,16,24,15,5,32,26,9,29,6,34,33,36,28,18,37,17,4,25,11,12,21,35,2,3,31,13,27,14,23,7,19,10,1,20,30,22,8,16,24,15,5,32,26,9,29,6,34,33,36,28,18,37,17,4,25,11,12,21,35,2,3,31,13,27,14
22,6,18,9,0,19,29,21,7,15,23,14,4,31,25,8,28,5,33,32,35,27,17,36,16,3,24,10,11,20,34,37,2,30,12,26,13,22,6,18,9,0,19,29,21,7,15,23,14,4,31,25,8,28,5,33,32,35,27,17,36,16,3,24,10,11,20,34,37,2,30,12,26,13
21,5,17,8,36,18,28,20,6,14,22,13,3,30,24,7,27,4,32,31,34,26,16,35,15,37,23,9,10,19,33,0,1,29,11,25,12,21,5,17,8,36,18,28,20,6,14,22,13,3,30,24,7,27,4,32,31,34,26,16,35,15,37,23,9,10,19,33,0,1,29,11,25,12
20,4,16,7,35,17,27,19,5,13,21,12,2,29,23,6,26,37,31,30,33,25,15,34,14,1,22,8,9,18,32,36,0,28,10,24,11,20,4,16,7,35,17,27,19,5,13,21,12,2,29,23,6,26,37,31,30,33,25,15,34,14,1,22,8,9,18,32,36,0,28,10,24,11
19,3,15,6,34,16,26,18,37,12,20,11,1,28,22,5,25,2,30,29,32,24,14,33,13,0,21,7,8,17,31,35,36,27,9,23,10,19,3,15,6,34,16,26,18,37,12,20,11,1,28,22,5,25,2,30,29,32,24,14,33,13,0,21,7,8,17,31,35,36,27,9,23,10
18,2,14,37,33,15,25,17,3,11,19,10,0,27,21,4,24,1,29,28,31,23,13,32,12,36,20,6,7,16,30,34,35,26,8,22,9,18,2,14,37,33,15,25,17,3,11,19,10,0,27,21,4,24,1,29,28,31,23,13,32,12,36,20,6,7,16,30,34,35,26,8,22,9
17,1,13,4,32,14,24,16,2,10,18,9,36,26,20,3,23,0,28,27,30,22,12,31,11,35,19,5,37,15,29,33,34,25,7,21,8,17,1,13,4,32,14,24,16,2,10,18,9,36,26,20,3,23,0,28,27,30,22,12,31,11,35,19,5,37,15,29,33,34,25,7,21,8
16,0,12,3,31,13,23,15,1,9,17,8,35,25,19,2,22,36,27,26,29,21,11,30,10,34,18,4,5,14,28,32,33,24,6,20,37,16,0,12,3,31,13,23,15,1,9,17,8,35,25,19,2,22,36,27,26,29,21,11,30,10,34,18,4,5,14,28,32,33,24,6,20,37
15,36,11,2,30,12,22,14,0,37,16,7,34,24,18,1,21,35,26,25,28,20,10,29,9,33,17,3,4,13,27,31,32,23,5,19,6,15,36,11,2,30,12,22,14,0,37,16,7,34,24,18,1,21,35,26,25,28,20,10,29,9,33,17,3,4,13,27,31,32,23,5,19,6
14,35,10,1,29,11,21,13,36,7,15,6,33,23,17,0,20,34,25,24,27,19,37,28,8,32,16,2,3,12,26,30,31,22,4,18,5,14,35,10,1,29,11,21,13,36,7,15,6,33,23,17,0,20,34,25,24,27,19,37,28,8,32,16,2,3,12,26,30,31,22,4,18,5
13,34,9,0,28,37,20,12,35,6,14,5,32,22,16,36,19,33,24,23,26,18,8,27,7,31,15,1,2,11,25,29,30,21,3,17,4,13,34,9,0,28,37,20,12,35,6,14,5,32,22,16,36,19,33,24,23,26,18,8,27,7,31,15,1,2,11,25,29,30,21,3,17,4
12,33,8,36,27,9,19,37,34,5,13,4,31,21,15,35,18,32,23,22,25,17,7,26,6,30,14,0,1,10,24,28,29,20,2,16,3,12,33,8,36,27,9,19,37,34,5,13,4,31,21,15,35,18,32,23,22,25,17,7,26,6,30,14,0,1,10,24,28,29,20,2,16,3
11,32,7,35,26,8,18,10,33,4,37,3,30,20,14,34,17,31,22,21,24,16,6,25,5,29,13,36,0,9,23,27,28,19,1,15,2,11,32,7,35,26,8,18,10,33,4,37,3,30,20,14,34,17,31,22,21,24,16,6,25,5,29,13,36,0,9,23,27,28,19,1,15,2
10,31,6,34,25,7,17,9,32,3,11,2,29,19,37,33,16,30,21,20,23,15,5,24,4,28,12,35,36,8,22,26,27,18,0,14,1,10,31,6,34,25,7,17,9,32,3,11,2,29,19,37,33,16,30,21,20,23,15,5,24,4,28,12,35,36,8,22,26,27,18,0,14,1
9,30,5,33,24,6,16,8,31,2,10,1,28,18,12,32,15,29,20,19,22,37,4,23,3,27,11,34,35,7,21,25,26,17,36,13,0,9,30,5,33,24,6,16,8,31,2,10,1,28,18,12,32,15,29,20,19,22,37,4,23,3,27,11,34,35,7,21,25,26,17,36,13,0
8,29,4,32,23,5,37,7,30,1,9,0,27,17,11,31,14,28,19,18,21,13,3,22,2,26,10,33,34,6,20,24,25,16,35,12,36,8,29,4,32,23,5,37,7,30,1,9,0,27,17,11,31,14,28,19,18,21,13,3,22,2,26,10,33,34,6,20,24,25,16,35,12,36
7,28,3,31,22,4,14,6,29,0,8,36,26,37,10,30,13,27,18,17,20,12,2,21,1,25,9,32,33,5,19,23,24,15,34,11,35,7,28,3,31,22,4,14,6,29,0,8,36,26,37,10,30,13,27,18,17,20,12,2,21,1,25,9,32,33,5,19,23,24,15,34,11,35
6,27,2,30,21,3,13,5,28,36,7,35,25,15,9,29,12,26,37,16,19,11,1,20,0,24,8,31,32,4,18,22,23,14,33,10,34,6,27,2,30,21,3,13,5,28,36,7,35,25,15,9,29,12,26,37,16,19,11,1,20,0,24,8,31,32,4,18,22,23,14,33,10,34
5,26,1,29,20,2,12,4,27,35,6,34,24,14,8,28,11,25,16,15,37,10,0,19,36,23,7,30,31,3,17,21,22,13,32,9,33,5,26,1,29,20,2,12,4,27,35,6,34,24,14,8,28,11,25,16,15,37,10,0,19,36,23,7,30,31,3,17,21,22,13,32,9,33
4,25,0,28,37,1,11,3,26,34,5,33,23,13,7,27,10,24,15,14,17,9,36,18,35,22,6,29,30,2,16,20,21,12,31,8,32,4,25,0,28,37,1,11,3,26,34,5,33,23,13,7,27,10,24,15,14,17,9,36,18,35,22,6,29,30,2,16,20,21,12,31,8,32
3,24,36,27,18,0,10,2,25,33,4,32,22,12,6,26,9,23,14,13,16,8,35,17,34,21,5,28,29,1,15,19,37,11,30,7,31,3,24,36,27,18,0,10,2,25,33,4,32,22,12,6,26,9,23,14,13,16,8,35,17,34,21,5,28,29,1,15,19,37,11,30,7,31
2,23,35,26,17,36,9,1,24,32,3,31,37,11,5,25,8,22,13,12,15,7,34,16,33,20,4,27,28,0,14,18,19,10,29,6,30,2,23,35,26,17,36,9,1,24,32,3,31,37,11,5,25,8,22,13,12,15,7,34,16,33,20,4,27,28,0,14,18,19,10,29,6,30
