0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
19,21,11,29,3,10,23,26,27,6,28,15,16,39,34,20,4,17,13,30,35,38,37,22,5,7,25,14,32,18,1,8,36,9,33,2,31,24,12,19,21,11,29,3,10,23,26,27,6,28,15,16,39,34,20,4,17,13,30,35,38,37,22,5,7,25,14,32,18,1,8,36,9,33,2,31,24,12
18,20,10,28,2,9,22,25,26,5,27,14,15,38,33,19,3,16,12,29,34,37,36,21,4,6,24,13,31,17,0,7,35,8,32,39,30,23,11,18,20,10,28,2,9,22,25,26,5,27,14,15,38,33,19,3,16,12,29,34,37,36,21,4,6,24,13,31,17,0,7,35,8,32,39,30,23,11
17,19,9,27,1,8,21,24,25,4,26,13,14,37,32,18,39,15,11,28,33,36,35,20,3,5,23,12,30,16,38,6,34,7,31,0,29,22,10,17,19,9,27,1,8,21,24,25,4,26,13,14,37,32,18,39,15,11,28,33,36,35,20,3,5,23,12,30,16,38,6,34,7,31,0,29,22,10
16,18,8,26,0,7,20,23,24,39,25,12,13,36,31,17,1,14,10,27,32,35,34,19,2,4,22,11,29,15,37,5,33,6,30,38,28,21,9,16,18,8,26,0,7,20,23,24,39,25,12,13,36,31,17,1,14,10,27,32,35,34,19,2,4,22,11,29,15,37,5,33,6,30,38,28,21,9
15,17,7,25,38,6,19,22,23,2,24,11,12,35,30,16,0,13,9,26,31,34,33,18,1,3,21,10,28,14,36,39,32,5,29,37,27,20,8,15,17,7,25,38,6,19,22,23,2,24,11,12,35,30,16,0,13,9,26,31,34,33,18,1,3,21,10,28,14,36,39,32,5,29,37,27,20,8
14,16,6,24,37,39,18,21,22,1,23,10,11,34,29,15,38,12,8,25,30,33,32,17,0,2,20,9,27,13,35,3,31,4,28,36,26,19,7,14,16,6,24,37,39,18,21,22,1,23,10,11,34,29,15,38,12,8,25,30,33,32,17,0,2,20,9,27,13,35,3,31,4,28,36,26,19,7
13,15,5,23,36,4,17,20,21,0,22,9,10,33,28,14,37,11,7,24,29,32,31,16,38,1,19,8,26,12,34,2,30,3,27,35,25,18,39,13,15,5,23,36,4,17,20,21,0,22,9,10,33,28,14,37,11,7,24,29,32,31,16,38,1,19,8,26,12,34,2,30,3,27,35,25,18,39
12,14,4,22,35,3,16,19,20,38,21,8,9,32,27,13,36,10,6,23,28,31,30,15,37,0,18,39,25,11,33,1,29,2,26,34,24,17,5,12,14,4,22,35,3,16,19,20,38,21,8,9,32,27,13,36,10,6,23,28,31,30,15,37,0,18,39,25,11,33,1,29,2,26,34,24,17,5
11,13,3,21,34,2,15,18,19,37,20,7,39,31,26,12,35,9,5,22,27,30,29,14,36,38,17,6,24,10,32,0,28,1,25,33,23,16,4,11,13,3,21,34,2,15,18,19,37,20,7,39,31,26,12,35,9,5,22,27,30,29,14,36,38,17,6,24,10,32,0,28,1,25,33,23,16,4
10,12,2,20,33,1,14,17,18,36,19,6,7,30,25,11,34,8,4,21,26,29,28,13,35,37,16,5,23,39,31,38,27,0,24,32,22,15,3,10,12,2,20,33,1,14,17,18,36,19,6,7,30,25,11,34,8,4,21,26,29,28,13,35,37,16,5,23,39,31,38,27,0,24,32,22,15,3
