0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
8,18,10,27,39,37,34,35,9,19,12,3,30,16,2,21,41,38,36,29,25,31,20,22,26,28,11,7,13,23,40,6,24,1,33,4,5,14,17,32,15,8,18,10,27,39,37,34,35,9,19,12,3,30,16,2,21,41,38,36,29,25,31,20,22,26,28,11,7,13,23,40,6,24,1,33,4,5,14,17,32,15
7,17,9,26,38,36,33,34,8,18,11,2,29,15,41,20,40,37,35,28,24,30,19,21,25,27,10,6,12,22,39,5,23,0,32,3,4,13,16,31,14,7,17,9,26,38,36,33,34,8,18,11,2,29,15,41,20,40,37,35,28,24,30,19,21,25,27,10,6,12,22,39,5,23,0,32,3,4,13,16,31,14
6,16,8,25,37,35,32,33,7,17,10,1,28,14,0,19,39,36,34,27,23,29,18,20,24,26,9,5,11,21,38,4,22,40,31,41,3,12,15,30,13,6,16,8,25,37,35,32,33,7,17,10,1,28,14,0,19,39,36,34,27,23,29,18,20,24,26,9,5,11,21,38,4,22,40,31,41,3,12,15,30,13
5,15,7,24,36,34,31,32,6,16,9,0,27,13,40,18,38,35,33,26,22,28,17,19,23,25,8,4,10,20,37,41,21,39,30,1,2,11,14,29,12,5,15,7,24,36,34,31,32,6,16,9,0,27,13,40,18,38,35,33,26,22,28,17,19,23,25,8,4,10,20,37,41,21,39,30,1,2,11,14,29,12
41,14,6,23,35,33,30,31,5,15,8,40,26,12,39,17,37,34,32,25,21,27,16,18,22,24,7,3,9,19,36,2,20,38,29,0,1,10,13,28,11,41,14,6,23,35,33,30,31,5,15,8,40,26,12,39,17,37,34,32,25,21,27,16,18,22,24,7,3,9,19,36,2,20,38,29,0,1,10,13,28,11
3,13,41,22,34,32,29,30,4,14,7,39,25,11,38,16,36,33,31,24,20,26,15,17,21,23,6,2,8,18,35,1,19,37,28,40,0,9,12,27,10,3,13,41,22,34,32,29,30,4,14,7,39,25,11,38,16,36,33,31,24,20,26,15,17,21,23,6,2,8,18,35,1,19,37,28,40,0,9,12,27,10
2,12,4,21,33,31,28,29,3,13,41,38,24,10,37,15,35,32,30,23,19,25,14,16,20,22,5,1,7,17,34,0,18,36,27,39,40,8,11,26,9,2,12,4,21,33,31,28,29,3,13,41,38,24,10,37,15,35,32,30,23,19,25,14,16,20,22,5,1,7,17,34,0,18,36,27,39,40,8,11,26,9
1,11,3,20,32,30,27,28,2,12,5,37,23,9,36,14,34,31,29,22,18,24,13,15,19,21,4,0,6,16,33,40,17,35,26,38,39,41,10,25,8,1,11,3,20,32,30,27,28,2,12,5,37,23,9,36,14,34,31,29,22,18,24,13,15,19,21,4,0,6,16,33,40,17,35,26,38,39,41,10,25,8
0,10,2,19,31,29,26,27,1,11,4,36,22,41,35,13,33,30,28,21,17,23,12,14,18,20,3,40,5,15,32,39,16,34,25,37,38,6,9,24,7,0,10,2,19,31,29,26,27,1,11,4,36,22,41,35,13,33,30,28,21,17,23,12,14,18,20,3,40,5,15,32,39,16,34,25,37,38,6,9,24,7
40,41,1,18,30,28,25,26,0,10,3,35,21,7,34,12,32,29,27,20,16,22,11,13,17,19,2,39,4,14,31,38,15,33,24,36,37,5,8,23,6,40,41,1,18,30,28,25,26,0,10,3,35,21,7,34,12,32,29,27,20,16,22,11,13,17,19,2,39,4,14,31,38,15,33,24,36,37,5,8,23,6
39,8,0,17,29,27,24,25,40,9,2,34,20,6,33,11,31,28,26,19,15,21,41,12,16,18,1,38,3,13,30,37,14,32,23,35,36,4,7,22,5,39,8,0,17,29,27,24,25,40,9,2,34,20,6,33,11,31,28,26,19,15,21,41,12,16,18,1,38,3,13,30,37,14,32,23,35,36,4,7,22,5
38,7,40,16,28,26,23,24,39,8,1,33,19,5,32,10,30,27,25,18,14,20,9,41,15,17,0,37,2,12,29,36,13,31,22,34,35,3,6,21,4,38,7,40,16,28,26,23,24,39,8,1,33,19,5,32,10,30,27,25,18,14,20,9,41,15,17,0,37,2,12,29,36,13,31,22,34,35,3,6,21,4
37,6,39,15,27,25,22,23,38,7,0,32,18,4,31,9,29,26,24,17,13,19,8,10,14,16,40,36,1,11,28,35,41,30,21,33,34,2,5,20,3,37,6,39,15,27,25,22,23,38,7,0,32,18,4,31,9,29,26,24,17,13,19,8,10,14,16,40,36,1,11,28,35,41,30,21,33,34,2,5,20,3
36,5,38,14,26,24,21,22,37,6,40,31,17,3,30,8,28,25,23,16,12,18,7,9,41,15,39,35,0,10,27,34,11,29,20,32,33,1,4,19,2,36,5,38,14,26,24,21,22,37,6,40,31,17,3,30,8,28,25,23,16,12,18,7,9,41,15,39,35,0,10,27,34,11,29,20,32,33,1,4,19,2
35,4,37,13,25,23,20,21,36,5,39,30,16,2,29,7,27,24,22,15,11,17,6,8,12,41,38,34,40,9,26,33,10,28,19,31,32,0,3,18,1,35,4,37,13,25,23,20,21,36,5,39,30,16,2,29,7,27,24,22,15,11,17,6,8,12,41,38,34,40,9,26,33,10,28,19,31,32,0,3,18,1
34,3,36,12,24,22,19,20,35,4,38,29,41,1,28,6,26,23,21,14,10,16,5,7,11,13,37,33,39,8,25,32,9,27,18,30,31,40,2,17,0,34,3,36,12,24,22,19,20,35,4,38,29,41,1,28,6,26,23,21,14,10,16,5,7,11,13,37,33,39,8,25,32,9,27,18,30,31,40,2,17,0
33,2,35,11,23,21,18,19,34,3,37,28,14,0,27,5,25,22,20,13,9,15,4,6,10,12,36,32,38,7,24,31,8,26,17,29,30,39,1,41,40,33,2,35,11,23,21,18,19,34,3,37,28,14,0,27,5,25,22,20,13,9,15,4,6,10,12,36,32,38,7,24,31,8,26,17,29,30,39,1,41,40
32,1,34,10,22,20,41,18,33,2,36,27,13,40,26,4,24,21,19,12,8,14,3,5,9,11,35,31,37,6,23,30,7,25,16,28,29,38,0,15,39,32,1,34,10,22,20,41,18,33,2,36,27,13,40,26,4,24,21,19,12,8,14,3,5,9,11,35,31,37,6,23,30,7,25,16,28,29,38,0,15,39
31,0,33,9,21,19,16,17,32,1,35,26,12,39,25,3,23,20,41,11,7,13,2,4,8,10,34,30,36,5,22,29,6,24,15,27,28,37,40,14,38,31,0,33,9,21,19,16,17,32,1,35,26,12,39,25,3,23,20,41,11,7,13,2,4,8,10,34,30,36,5,22,29,6,24,15,27,28,37,40,14,38
30,40,32,8,20,18,15,16,31,0,34,25,11,38,24,2,22,41,17,10,6,12,1,3,7,9,33,29,35,4,21,28,5,23,14,26,27,36,39,13,37,30,40,32,8,20,18,15,16,31,0,34,25,11,38,24,2,22,41,17,10,6,12,1,3,7,9,33,29,35,4,21,28,5,23,14,26,27,36,39,13,37
29,39,31,7,19,17,14,15,30,40,33,24,10,37,23,1,21,18,16,9,5,11,0,2,6,8,32,28,34,3,41,27,4,22,13,25,26,35,38,12,36,29,39,31,7,19,17,14,15,30,40,33,24,10,37,23,1,21,18,16,9,5,11,0,2,6,8,32,28,34,3,41,27,4,22,13,25,26,35,38,12,36
28,38,30,6,18,16,13,14,29,39,32,23,9,36,22,0,20,17,15,8,4,10,40,1,5,7,31,27,33,2,19,26,3,41,12,24,25,34,37,11,35,28,38,30,6,18,16,13,14,29,39,32,23,9,36,22,0,20,17,15,8,4,10,40,1,5,7,31,27,33,2,19,26,3,41,12,24,25,34,37,11,35
27,37,29,5,17,15,12,13,28,38,31,41,8,35,21,40,19,16,14,7,3,9,39,0,4,6,30,26,32,1,18,25,2,20,11,23,24,33,36,10,34,27,37,29,5,17,15,12,13,28,38,31,41,8,35,21,40,19,16,14,7,3,9,39,0,4,6,30,26,32,1,18,25,2,20,11,23,24,33,36,10,34
26,36,28,4,16,14,11,12,27,37,30,21,7,34,20,39,18,15,13,6,2,8,38,40,3,5,29,25,31,0,17,24,1,19,10,22,41,32,35,9,33,26,36,28,4,16,14,11,12,27,37,30,21,7,34,20,39,18,15,13,6,2,8,38,40,3,5,29,25,31,0,17,24,1,19,10,22,41,32,35,9,33
25,35,27,3,15,13,10,11,26,36,29,20,6,33,19,38,17,14,12,5,1,7,37,39,2,4,28,41,30,40,16,23,0,18,9,21,22,31,34,8,32,25,35,27,3,15,13,10,11,26,36,29,20,6,33,19,38,17,14,12,5,1,7,37,39,2,4,28,41,30,40,16,23,0,18,9,21,22,31,34,8,32
24,34,26,2,14,12,9,10,41,35,28,19,5,32,18,37,16,13,11,4,0,6,36,38,1,3,27,23,29,39,15,22,40,17,8,20,21,30,33,7,31,24,34,26,2,14,12,9,10,41,35,28,19,5,32,18,37,16,13,11,4,0,6,36,38,1,3,27,23,29,39,15,22,40,17,8,20,21,30,33,7,31
23,33,25,1,13,11,8,9,24,34,27,18,4,31,17,36,15,12,10,3,40,5,35,37,0,2,41,22,28,38,14,21,39,16,7,19,20,29,32,6,30,23,33,25,1,13,11,8,9,24,34,27,18,4,31,17,36,15,12,10,3,40,5,35,37,0,2,41,22,28,38,14,21,39,16,7,19,20,29,32,6,30
22,32,24,0,12,10,7,8,23,33,26,17,3,30,16,35,14,11,9,2,39,4,34,36,40,1,25,21,41,37,13,20,38,15,6,18,19,28,31,5,29,22,32,24,0,12,10,7,8,23,33,26,17,3,30,16,35,14,11,9,2,39,4,34,36,40,1,25,21,41,37,13,20,38,15,6,18,19,28,31,5,29
21,31,23,40,11,9,6,7,22,32,25,16,2,29,15,34,13,10,8,1,38,3,33,35,39,0,24,20,26,36,12,19,37,14,5,17,18,27,30,4,41,21,31,23,40,11,9,6,7,22,32,25,16,2,29,15,34,13,10,8,1,38,3,33,35,39,0,24,20,26,36,12,19,37,14,5,17,18,27,30,4,41
20,30,22,39,10,8,5,6,21,31,24,15,1,28,14,33,12,9,7,0,37,2,32,34,38,40,23,19,25,35,11,18,36,13,4,16,17,26,41,3,27,20,30,22,39,10,8,5,6,21,31,24,15,1,28,14,33,12,9,7,0,37,2,32,34,38,40,23,19,25,35,11,18,36,13,4,16,17,26,41,3,27
19,29,21,38,9,7,4,5,20,41,23,14,0,27,13,32,11,8,6,40,36,1,31,33,37,39,22,18,24,34,10,17,35,12,3,15,16,25,28,2,26,19,29,21,38,9,7,4,5,20,41,23,14,0,27,13,32,11,8,6,40,36,1,31,33,37,39,22,18,24,34,10,17,35,12,3,15,16,25,28,2,26
18,28,20,37,8,6,3,4,19,29,22,13,40,26,12,41,10,7,5,39,35,0,30,32,36,38,21,17,23,33,9,16,34,11,2,14,15,24,27,1,25,18,28,20,37,8,6,3,4,19,29,22,13,40,26,12,41,10,7,5,39,35,0,30,32,36,38,21,17,23,33,9,16,34,11,2,14,15,24,27,1,25
17,27,19,36,7,5,2,3,18,28,21,12,39,25,11,30,9,6,4,38,34,40,29,31,35,37,20,16,22,41,8,15,33,10,1,13,14,23,26,0,24,17,27,19,36,7,5,2,3,18,28,21,12,39,25,11,30,9,6,4,38,34,40,29,31,35,37,20,16,22,41,8,15,33,10,1,13,14,23,26,0,24
16,26,18,35,6,4,1,2,17,27,20,11,38,24,10,29,8,5,3,37,41,39,28,30,34,36,19,15,21,31,7,14,32,9,0,12,13,22,25,40,23,16,26,18,35,6,4,1,2,17,27,20,11,38,24,10,29,8,5,3,37,41,39,28,30,34,36,19,15,21,31,7,14,32,9,0,12,13,22,25,40,23
15,25,17,41,5,3,0,1,16,26,19,10,37,23,9,28,7,4,2,36,32,38,27,29,33,35,18,14,20,30,6,13,31,8,40,11,12,21,24,39,22,15,25,17,41,5,3,0,1,16,26,19,10,37,23,9,28,7,4,2,36,32,38,27,29,33,35,18,14,20,30,6,13,31,8,40,11,12,21,24,39,22
14,24,16,33,4,2,40,0,15,25,18,9,36,22,8,27,6,3,1,41,31,37,26,28,32,34,17,13,19,29,5,12,30,7,39,10,11,20,23,38,21,14,24,16,33,4,2,40,0,15,25,18,9,36,22,8,27,6,3,1,41,31,37,26,28,32,34,17,13,19,29,5,12,30,7,39,10,11,20,23,38,21
13,23,15,32,3,1,39,40,14,24,17,8,35,21,7,26,5,2,0,34,30,41,25,27,31,33,16,12,18,28,4,11,29,6,38,9,10,19,22,37,20,13,23,15,32,3,1,39,40,14,24,17,8,35,21,7,26,5,2,0,34,30,41,25,27,31,33,16,12,18,28,4,11,29,6,38,9,10,19,22,37,20
12,22,14,31,2,0,38,39,13,23,16,7,34,20,6,25,4,1,40,33,29,35,24,26,30,32,15,11,17,27,3,10,28,5,41,8,9,18,21,36,19,12,22,14,31,2,0,38,39,13,23,16,7,34,20,6,25,4,1,40,33,29,35,24,26,30,32,15,11,17,27,3,10,28,5,41,8,9,18,21,36,19
11,21,13,30,1,40,37,41,12,22,15,6,33,19,5,24,3,0,39,32,28,34,23,25,29,31,14,10,16,26,2,9,27,4,36,7,8,17,20,35,18,11,21,13,30,1,40,37,41,12,22,15,6,33,19,5,24,3,0,39,32,28,34,23,25,29,31,14,10,16,26,2,9,27,4,36,7,8,17,20,35,18
10,20,12,29,0,41,36,37,11,21,14,5,32,18,4,23,2,40,38,31,27,33,22,24,28,30,13,9,15,25,1,8,26,3,35,6,7,16,19,34,17,10,20,12,29,0,41,36,37,11,21,14,5,32,18,4,23,2,40,38,31,27,33,22,24,28,30,13,9,15,25,1,8,26,3,35,6,7,16,19,34,17
9,19,11,28,41,38,35,36,10,20,13,4,31,17,3,22,1,39,37,30,26,32,21,23,27,29,12,8,14,24,0,7,25,2,34,5,6,15,18,33,16,9,19,11,28,41,38,35,36,10,20,13,4,31,17,3,22,1,39,37,30,26,32,21,23,27,29,12,8,14,24,0,7,25,2,34,5,6,15,18,33,16
4,9,5,34,40,39,17,38,25,30,6,22,15,8,1,31,0,19,18,35,33,36,10,11,13,14,26,24,27,32,20,3,12,21,37,2,23,7,29,16,28,4,9,5,34,40,39,17,38,25,30,6,22,15,8,1,31,0,19,18,35,33,36,10,11,13,14,26,24,27,32,20,3,12,21,37,2,23,7,29,16,28
