0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
12,21,34,26,33,19,9,32,2,17,13,43,27,5,39,6,35,3,14,28,42,16,10,18,4,40,30,1,38,22,24,11,31,41,29,36,15,7,25,37,20,23,8,12,21,34,26,33,19,9,32,2,17,13,43,27,5,39,6,35,3,14,28,42,16,10,18,4,40,30,1,38,22,24,11,31,41,29,36,15,7,25,37,20,23,8
11,20,33,25,32,18,8,31,43,16,12,42,26,4,38,5,34,2,13,27,41,15,9,17,3,39,29,0,37,21,23,10,30,40,28,35,14,6,24,36,19,22,7,11,20,33,25,32,18,8,31,43,16,12,42,26,4,38,5,34,2,13,27,41,15,9,17,3,39,29,0,37,21,23,10,30,40,28,35,14,6,24,36,19,22,7
10,19,32,24,31,17,7,30,0,15,11,41,25,3,37,4,33,1,12,26,40,14,8,16,43,38,28,42,36,20,22,9,29,39,27,34,13,5,23,35,18,21,6,10,19,32,24,31,17,7,30,0,15,11,41,25,3,37,4,33,1,12,26,40,14,8,16,43,38,28,42,36,20,22,9,29,39,27,34,13,5,23,35,18,21,6
9,18,31,23,30,16,6,29,42,14,10,40,24,2,36,43,32,0,11,25,39,13,7,15,1,37,27,41,35,19,21,8,28,38,26,33,12,4,22,34,17,20,5,9,18,31,23,30,16,6,29,42,14,10,40,24,2,36,43,32,0,11,25,39,13,7,15,1,37,27,41,35,19,21,8,28,38,26,33,12,4,22,34,17,20,5
8,17,30,22,29,15,5,28,41,13,9,39,23,1,35,2,31,42,10,24,38,12,6,14,0,36,26,40,34,18,20,7,27,37,25,32,11,3,21,33,16,19,43,8,17,30,22,29,15,5,28,41,13,9,39,23,1,35,2,31,42,10,24,38,12,6,14,0,36,26,40,34,18,20,7,27,37,25,32,11,3,21,33,16,19,43
7,16,29,21,28,14,4,27,40,12,8,38,22,0,34,1,30,41,9,23,37,11,43,13,42,35,25,39,33,17,19,6,26,36,24,31,10,2,20,32,15,18,3,7,16,29,21,28,14,4,27,40,12,8,38,22,0,34,1,30,41,9,23,37,11,43,13,42,35,25,39,33,17,19,6,26,36,24,31,10,2,20,32,15,18,3
43,15,28,20,27,13,3,26,39,11,7,37,21,42,33,0,29,40,8,22,36,10,4,12,41,34,24,38,32,16,18,5,25,35,23,30,9,1,19,31,14,17,2,43,15,28,20,27,13,3,26,39,11,7,37,21,42,33,0,29,40,8,22,36,10,4,12,41,34,24,38,32,16,18,5,25,35,23,30,9,1,19,31,14,17,2
5,14,27,19,26,12,2,25,38,10,6,36,20,41,32,42,28,39,43,21,35,9,3,11,40,33,23,37,31,15,17,4,24,34,22,29,8,0,18,30,13,16,1,5,14,27,19,26,12,2,25,38,10,6,36,20,41,32,42,28,39,43,21,35,9,3,11,40,33,23,37,31,15,17,4,24,34,22,29,8,0,18,30,13,16,1
4,13,26,18,25,11,1,24,37,9,5,35,19,40,31,41,27,38,6,20,34,43,2,10,39,32,22,36,30,14,16,3,23,33,21,28,7,42,17,29,12,15,0,4,13,26,18,25,11,1,24,37,9,5,35,19,40,31,41,27,38,6,20,34,43,2,10,39,32,22,36,30,14,16,3,23,33,21,28,7,42,17,29,12,15,0
3,12,25,17,24,10,0,23,36,8,4,34,18,39,30,40,26,37,5,19,33,7,1,43,38,31,21,35,29,13,15,2,22,32,20,27,6,41,16,28,11,14,42,3,12,25,17,24,10,0,23,36,8,4,34,18,39,30,40,26,37,5,19,33,7,1,43,38,31,21,35,29,13,15,2,22,32,20,27,6,41,16,28,11,14,42
