0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
43,20,13,14,31,9,29,15,38,27,1,28,16,23,34,19,6,39,25,32,8,2,4,11,22,26,5,33,21,37,30,35,45,10,7,36,3,40,44,17,41,24,12,18,42,43,20,13,14,31,9,29,15,38,27,1,28,16,23,34,19,6,39,25,32,8,2,4,11,22,26,5,33,21,37,30,35,45,10,7,36,3,40,44,17,41,24,12,18,42
42,19,12,13,30,8,28,14,37,26,0,27,15,22,33,18,5,38,24,31,7,45,3,10,21,25,4,32,20,36,29,34,44,9,6,35,2,39,43,16,40,23,11,17,41,42,19,12,13,30,8,28,14,37,26,0,27,15,22,33,18,5,38,24,31,7,45,3,10,21,25,4,32,20,36,29,34,44,9,6,35,2,39,43,16,40,23,11,17,41
41,18,11,12,29,7,27,13,36,25,44,26,14,21,32,17,4,37,23,30,6,0,45,9,20,24,3,31,19,35,28,33,43,8,5,34,1,38,42,15,39,22,10,16,40,41,18,11,12,29,7,27,13,36,25,44,26,14,21,32,17,4,37,23,30,6,0,45,9,20,24,3,31,19,35,28,33,43,8,5,34,1,38,42,15,39,22,10,16,40
40,17,10,11,28,6,26,12,35,24,43,25,13,20,31,16,45,36,22,29,5,44,1,8,19,23,2,30,18,34,27,32,42,7,4,33,0,37,41,14,38,21,9,15,39,40,17,10,11,28,6,26,12,35,24,43,25,13,20,31,16,45,36,22,29,5,44,1,8,19,23,2,30,18,34,27,32,42,7,4,33,0,37,41,14,38,21,9,15,39
39,16,9,10,27,5,25,11,34,23,42,24,12,19,30,15,2,35,21,28,45,43,0,7,18,22,1,29,17,33,26,31,41,6,3,32,44,36,40,13,37,20,8,14,38,39,16,9,10,27,5,25,11,34,23,42,24,12,19,30,15,2,35,21,28,45,43,0,7,18,22,1,29,17,33,26,31,41,6,3,32,44,36,40,13,37,20,8,14,38
38,15,8,9,26,4,24,10,33,22,41,23,11,18,29,14,1,34,20,27,3,42,44,6,17,21,0,28,16,32,25,30,40,45,2,31,43,35,39,12,36,19,7,13,37,38,15,8,9,26,4,24,10,33,22,41,23,11,18,29,14,1,34,20,27,3,42,44,6,17,21,0,28,16,32,25,30,40,45,2,31,43,35,39,12,36,19,7,13,37
37,14,7,8,25,3,23,9,32,21,40,22,10,17,28,13,0,33,19,26,2,41,43,5,16,20,44,27,15,31,24,29,39,4,1,30,42,34,38,11,35,18,45,12,36,37,14,7,8,25,3,23,9,32,21,40,22,10,17,28,13,0,33,19,26,2,41,43,5,16,20,44,27,15,31,24,29,39,4,1,30,42,34,38,11,35,18,45,12,36
36,13,6,45,24,2,22,8,31,20,39,21,9,16,27,12,44,32,18,25,1,40,42,4,15,19,43,26,14,30,23,28,38,3,0,29,41,33,37,10,34,17,5,11,35,36,13,6,45,24,2,22,8,31,20,39,21,9,16,27,12,44,32,18,25,1,40,42,4,15,19,43,26,14,30,23,28,38,3,0,29,41,33,37,10,34,17,5,11,35
35,12,5,6,23,1,21,7,30,19,38,20,45,15,26,11,43,31,17,24,0,39,41,3,14,18,42,25,13,29,22,27,37,2,44,28,40,32,36,9,33,16,4,10,34,35,12,5,6,23,1,21,7,30,19,38,20,45,15,26,11,43,31,17,24,0,39,41,3,14,18,42,25,13,29,22,27,37,2,44,28,40,32,36,9,33,16,4,10,34
34,11,4,5,22,0,20,6,29,18,37,19,7,14,25,10,42,30,16,23,44,38,40,2,13,17,41,24,12,28,21,26,36,1,43,27,39,31,35,8,32,15,3,45,33,34,11,4,5,22,0,20,6,29,18,37,19,7,14,25,10,42,30,16,23,44,38,40,2,13,17,41,24,12,28,21,26,36,1,43,27,39,31,35,8,32,15,3,45,33
33,45,3,4,21,44,19,5,28,17,36,18,6,13,24,9,41,29,15,22,43,37,39,1,12,16,40,23,11,27,20,25,35,0,42,26,38,30,34,7,31,14,2,8,32,33,45,3,4,21,44,19,5,28,17,36,18,6,13,24,9,41,29,15,22,43,37,39,1,12,16,40,23,11,27,20,25,35,0,42,26,38,30,34,7,31,14,2,8,32
32,9,2,3,20,43,18,4,27,16,35,17,5,12,23,8,40,28,14,21,42,36,38,0,45,15,39,22,10,26,19,24,34,44,41,25,37,29,33,6,30,13,1,7,31,32,9,2,3,20,43,18,4,27,16,35,17,5,12,23,8,40,28,14,21,42,36,38,0,45,15,39,22,10,26,19,24,34,44,41,25,37,29,33,6,30,13,1,7,31
31,8,1,2,19,42,17,3,26,15,34,16,4,11,22,7,39,27,13,20,41,35,37,44,10,14,38,21,9,25,18,23,33,43,40,24,36,28,32,5,29,45,0,6,30,31,8,1,2,19,42,17,3,26,15,34,16,4,11,22,7,39,27,13,20,41,35,37,44,10,14,38,21,9,25,18,23,33,43,40,24,36,28,32,5,29,45,0,6,30
30,7,0,1,18,41,16,2,25,14,33,15,3,10,21,6,38,26,12,19,40,34,36,43,9,45,37,20,8,24,17,22,32,42,39,23,35,27,31,4,28,11,44,5,29,30,7,0,1,18,41,16,2,25,14,33,15,3,10,21,6,38,26,12,19,40,34,36,43,9,45,37,20,8,24,17,22,32,42,39,23,35,27,31,4,28,11,44,5,29
29,6,44,0,17,40,15,1,24,13,32,45,2,9,20,5,37,25,11,18,39,33,35,42,8,12,36,19,7,23,16,21,31,41,38,22,34,26,30,3,27,10,43,4,28,29,6,44,0,17,40,15,1,24,13,32,45,2,9,20,5,37,25,11,18,39,33,35,42,8,12,36,19,7,23,16,21,31,41,38,22,34,26,30,3,27,10,43,4,28
28,5,43,44,16,39,14,0,23,12,31,13,1,8,19,4,36,24,10,17,38,32,34,41,7,11,35,18,6,22,45,20,30,40,37,21,33,25,29,2,26,9,42,3,27,28,5,43,44,16,39,14,0,23,12,31,13,1,8,19,4,36,24,10,17,38,32,34,41,7,11,35,18,6,22,45,20,30,40,37,21,33,25,29,2,26,9,42,3,27
27,4,42,43,15,38,13,44,22,11,30,12,0,7,18,3,35,23,9,45,37,31,33,40,6,10,34,17,5,21,14,19,29,39,36,20,32,24,28,1,25,8,41,2,26,27,4,42,43,15,38,13,44,22,11,30,12,0,7,18,3,35,23,9,45,37,31,33,40,6,10,34,17,5,21,14,19,29,39,36,20,32,24,28,1,25,8,41,2,26
26,3,41,42,14,37,12,43,21,10,29,11,44,6,45,2,34,22,8,15,36,30,32,39,5,9,33,16,4,20,13,18,28,38,35,19,31,23,27,0,24,7,40,1,25,26,3,41,42,14,37,12,43,21,10,29,11,44,6,45,2,34,22,8,15,36,30,32,39,5,9,33,16,4,20,13,18,28,38,35,19,31,23,27,0,24,7,40,1,25
25,2,40,41,13,36,11,42,20,9,28,10,43,5,16,1,33,21,7,14,35,29,31,38,4,8,32,15,3,19,12,17,27,37,34,45,30,22,26,44,23,6,39,0,24,25,2,40,41,13,36,11,42,20,9,28,10,43,5,16,1,33,21,7,14,35,29,31,38,4,8,32,15,3,19,12,17,27,37,34,45,30,22,26,44,23,6,39,0,24
24,1,39,40,12,35,10,41,45,8,27,9,42,4,15,0,32,20,6,13,34,28,30,37,3,7,31,14,2,18,11,16,26,36,33,17,29,21,25,43,22,5,38,44,23,24,1,39,40,12,35,10,41,45,8,27,9,42,4,15,0,32,20,6,13,34,28,30,37,3,7,31,14,2,18,11,16,26,36,33,17,29,21,25,43,22,5,38,44,23
23,0,38,39,11,34,9,40,18,7,26,8,41,3,14,44,31,19,5,12,33,27,29,36,2,6,30,13,1,17,10,15,25,35,32,16,28,45,24,42,21,4,37,43,22,23,0,38,39,11,34,9,40,18,7,26,8,41,3,14,44,31,19,5,12,33,27,29,36,2,6,30,13,1,17,10,15,25,35,32,16,28,45,24,42,21,4,37,43,22
22,44,37,38,10,33,8,39,17,6,25,7,40,2,13,43,30,18,4,11,32,26,28,35,1,5,29,12,0,16,9,14,24,34,31,15,27,19,23,41,20,3,36,42,45,22,44,37,38,10,33,8,39,17,6,25,7,40,2,13,43,30,18,4,11,32,26,28,35,1,5,29,12,0,16,9,14,24,34,31,15,27,19,23,41,20,3,36,42,45
21,43,36,37,9,32,7,38,16,5,24,6,39,1,12,42,29,17,3,10,31,25,27,34,0,4,28,11,44,15,8,13,23,33,30,14,26,18,45,40,19,2,35,41,20,21,43,36,37,9,32,7,38,16,5,24,6,39,1,12,42,29,17,3,10,31,25,27,34,0,4,28,11,44,15,8,13,23,33,30,14,26,18,45,40,19,2,35,41,20
20,42,35,36,8,31,6,37,15,4,45,5,38,0,11,41,28,16,2,9,30,24,26,33,44,3,27,10,43,14,7,12,22,32,29,13,25,17,21,39,18,1,34,40,19,20,42,35,36,8,31,6,37,15,4,45,5,38,0,11,41,28,16,2,9,30,24,26,33,44,3,27,10,43,14,7,12,22,32,29,13,25,17,21,39,18,1,34,40,19
19,41,34,35,7,30,5,36,14,3,22,4,37,44,10,40,27,15,1,8,29,23,25,32,43,2,26,9,42,13,6,11,21,31,28,12,45,16,20,38,17,0,33,39,18,19,41,34,35,7,30,5,36,14,3,22,4,37,44,10,40,27,15,1,8,29,23,25,32,43,2,26,9,42,13,6,11,21,31,28,12,45,16,20,38,17,0,33,39,18
