0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
2,25,37,38,24,28,33,19,18,41,27,12,31,17,45,3,32,5,4,42,8,36,21,16,6,20,10,9,47,7,22,13,30,43,26,46,39,44,11,1,14,29,15,35,23,40,34,2,25,37,38,24,28,33,19,18,41,27,12,31,17,45,3,32,5,4,42,8,36,21,16,6,20,10,9,47,7,22,13,30,43,26,46,39,44,11,1,14,29,15,35,23,40,34
47,24,36,37,23,27,32,18,17,40,26,11,30,16,44,2,31,4,3,41,7,35,20,15,5,19,9,8,46,6,21,12,29,42,25,45,38,43,10,0,13,28,14,34,22,39,33,47,24,36,37,23,27,32,18,17,40,26,11,30,16,44,2,31,4,3,41,7,35,20,15,5,19,9,8,46,6,21,12,29,42,25,45,38,43,10,0,13,28,14,34,22,39,33
0,23,35,36,22,26,31,17,16,39,25,10,29,15,43,1,30,3,47,40,6,34,19,14,4,18,8,7,45,5,20,11,28,41,24,44,37,42,9,46,12,27,13,33,21,38,32,0,23,35,36,22,26,31,17,16,39,25,10,29,15,43,1,30,3,47,40,6,34,19,14,4,18,8,7,45,5,20,11,28,41,24,44,37,42,9,46,12,27,13,33,21,38,32
46,22,34,35,21,25,30,16,15,38,24,9,28,14,42,0,29,2,1,39,5,33,18,13,47,17,7,6,44,4,19,10,27,40,23,43,36,41,8,45,11,26,12,32,20,37,31,46,22,34,35,21,25,30,16,15,38,24,9,28,14,42,0,29,2,1,39,5,33,18,13,47,17,7,6,44,4,19,10,27,40,23,43,36,41,8,45,11,26,12,32,20,37,31
45,21,33,34,20,24,29,15,14,37,23,8,27,13,41,46,28,1,0,38,47,32,17,12,2,16,6,5,43,3,18,9,26,39,22,42,35,40,7,44,10,25,11,31,19,36,30,45,21,33,34,20,24,29,15,14,37,23,8,27,13,41,46,28,1,0,38,47,32,17,12,2,16,6,5,43,3,18,9,26,39,22,42,35,40,7,44,10,25,11,31,19,36,30
44,20,32,33,19,23,28,14,13,36,22,7,26,12,40,45,27,0,46,37,3,31,16,11,1,15,47,4,42,2,17,8,25,38,21,41,34,39,6,43,9,24,10,30,18,35,29,44,20,32,33,19,23,28,14,13,36,22,7,26,12,40,45,27,0,46,37,3,31,16,11,1,15,47,4,42,2,17,8,25,38,21,41,34,39,6,43,9,24,10,30,18,35,29
43,19,31,32,18,22,27,13,12,35,21,47,25,11,39,44,26,46,45,36,2,30,15,10,0,14,4,3,41,1,16,7,24,37,20,40,33,38,5,42,8,23,9,29,17,34,28,43,19,31,32,18,22,27,13,12,35,21,47,25,11,39,44,26,46,45,36,2,30,15,10,0,14,4,3,41,1,16,7,24,37,20,40,33,38,5,42,8,23,9,29,17,34,28
42,18,30,31,17,21,26,12,11,34,20,5,24,10,38,43,25,45,44,35,1,29,14,9,46,13,3,2,40,0,15,6,23,36,19,39,32,37,4,41,47,22,8,28,16,33,27,42,18,30,31,17,21,26,12,11,34,20,5,24,10,38,43,25,45,44,35,1,29,14,9,46,13,3,2,40,0,15,6,23,36,19,39,32,37,4,41,47,22,8,28,16,33,27
41,17,29,30,16,20,25,11,10,33,19,4,23,9,37,42,24,44,43,34,0,28,13,47,45,12,2,1,39,46,14,5,22,35,18,38,31,36,3,40,6,21,7,27,15,32,26,41,17,29,30,16,20,25,11,10,33,19,4,23,9,37,42,24,44,43,34,0,28,13,47,45,12,2,1,39,46,14,5,22,35,18,38,31,36,3,40,6,21,7,27,15,32,26
40,16,28,29,15,19,24,10,47,32,18,3,22,8,36,41,23,43,42,33,46,27,12,7,44,11,1,0,38,45,13,4,21,34,17,37,30,35,2,39,5,20,6,26,14,31,25,40,16,28,29,15,19,24,10,47,32,18,3,22,8,36,41,23,43,42,33,46,27,12,7,44,11,1,0,38,45,13,4,21,34,17,37,30,35,2,39,5,20,6,26,14,31,25
39,15,27,28,14,18,23,9,8,31,17,2,21,7,35,40,22,42,41,32,45,26,11,6,43,47,0,46,37,44,12,3,20,33,16,36,29,34,1,38,4,19,5,25,13,30,24,39,15,27,28,14,18,23,9,8,31,17,2,21,7,35,40,22,42,41,32,45,26,11,6,43,47,0,46,37,44,12,3,20,33,16,36,29,34,1,38,4,19,5,25,13,30,24
38,14,26,27,13,17,22,8,7,30,16,1,20,6,34,39,21,41,40,31,44,25,10,5,42,9,46,45,36,43,47,2,19,32,15,35,28,33,0,37,3,18,4,24,12,29,23,38,14,26,27,13,17,22,8,7,30,16,1,20,6,34,39,21,41,40,31,44,25,10,5,42,9,46,45,36,43,47,2,19,32,15,35,28,33,0,37,3,18,4,24,12,29,23
37,13,25,26,47,16,21,7,6,29,15,0,19,5,33,38,20,40,39,30,43,24,9,4,41,8,45,44,35,42,10,1,18,31,14,34,27,32,46,36,2,17,3,23,11,28,22,37,13,25,26,47,16,21,7,6,29,15,0,19,5,33,38,20,40,39,30,43,24,9,4,41,8,45,44,35,42,10,1,18,31,14,34,27,32,46,36,2,17,3,23,11,28,22
36,12,24,25,11,15,20,6,5,28,14,46,18,4,32,37,19,39,38,29,42,23,8,3,40,7,44,43,34,41,9,0,17,30,47,33,26,31,45,35,1,16,2,22,10,27,21,36,12,24,25,11,15,20,6,5,28,14,46,18,4,32,37,19,39,38,29,42,23,8,3,40,7,44,43,34,41,9,0,17,30,47,33,26,31,45,35,1,16,2,22,10,27,21
35,11,23,24,10,47,19,5,4,27,13,45,17,3,31,36,18,38,37,28,41,22,7,2,39,6,43,42,33,40,8,46,16,29,12,32,25,30,44,34,0,15,1,21,9,26,20,35,11,23,24,10,47,19,5,4,27,13,45,17,3,31,36,18,38,37,28,41,22,7,2,39,6,43,42,33,40,8,46,16,29,12,32,25,30,44,34,0,15,1,21,9,26,20
34,10,22,23,9,13,18,4,3,26,12,44,16,2,30,35,17,37,36,27,40,21,6,1,38,5,42,41,32,39,7,45,47,28,11,31,24,29,43,33,46,14,0,20,8,25,19,34,10,22,23,9,13,18,4,3,26,12,44,16,2,30,35,17,37,36,27,40,21,6,1,38,5,42,41,32,39,7,45,47,28,11,31,24,29,43,33,46,14,0,20,8,25,19
33,9,21,22,8,12,17,3,2,25,11,43,15,1,29,34,47,36,35,26,39,20,5,0,37,4,41,40,31,38,6,44,14,27,10,30,23,28,42,32,45,13,46,19,7,24,18,33,9,21,22,8,12,17,3,2,25,11,43,15,1,29,34,47,36,35,26,39,20,5,0,37,4,41,40,31,38,6,44,14,27,10,30,23,28,42,32,45,13,46,19,7,24,18
32,8,20,21,7,11,16,2,1,24,10,42,14,0,28,33,15,35,34,25,38,19,4,46,36,3,40,39,30,37,5,43,13,26,9,29,22,27,41,31,44,12,45,18,6,23,47,32,8,20,21,7,11,16,2,1,24,10,42,14,0,28,33,15,35,34,25,38,19,4,46,36,3,40,39,30,37,5,43,13,26,9,29,22,27,41,31,44,12,45,18,6,23,47
31,7,19,20,6,10,15,1,0,23,9,41,13,46,27,32,14,34,33,24,37,47,3,45,35,2,39,38,29,36,4,42,12,25,8,28,21,26,40,30,43,11,44,17,5,22,16,31,7,19,20,6,10,15,1,0,23,9,41,13,46,27,32,14,34,33,24,37,47,3,45,35,2,39,38,29,36,4,42,12,25,8,28,21,26,40,30,43,11,44,17,5,22,16
30,6,18,47,5,9,14,0,46,22,8,40,12,45,26,31,13,33,32,23,36,17,2,44,34,1,38,37,28,35,3,41,11,24,7,27,20,25,39,29,42,10,43,16,4,21,15,30,6,18,47,5,9,14,0,46,22,8,40,12,45,26,31,13,33,32,23,36,17,2,44,34,1,38,37,28,35,3,41,11,24,7,27,20,25,39,29,42,10,43,16,4,21,15
29,5,17,18,4,8,13,46,45,21,7,39,11,44,25,30,12,32,31,22,35,16,1,43,33,0,37,36,27,34,2,40,10,23,6,26,19,24,38,28,41,9,42,15,3,47,14,29,5,17,18,4,8,13,46,45,21,7,39,11,44,25,30,12,32,31,22,35,16,1,43,33,0,37,36,27,34,2,40,10,23,6,26,19,24,38,28,41,9,42,15,3,47,14
28,4,16,17,3,7,12,45,44,20,6,38,10,43,24,29,11,31,30,47,34,15,0,42,32,46,36,35,26,33,1,39,9,22,5,25,18,23,37,27,40,8,41,14,2,19,13,28,4,16,17,3,7,12,45,44,20,6,38,10,43,24,29,11,31,30,47,34,15,0,42,32,46,36,35,26,33,1,39,9,22,5,25,18,23,37,27,40,8,41,14,2,19,13
27,3,15,16,2,6,11,44,43,19,5,37,9,42,23,28,10,30,29,20,33,14,46,41,31,45,35,34,25,32,0,38,8,21,4,24,17,47,36,26,39,7,40,13,1,18,12,27,3,15,16,2,6,11,44,43,19,5,37,9,42,23,28,10,30,29,20,33,14,46,41,31,45,35,34,25,32,0,38,8,21,4,24,17,47,36,26,39,7,40,13,1,18,12
26,2,14,15,1,5,10,43,42,18,4,36,8,41,22,27,9,29,28,19,32,13,45,40,30,44,34,33,24,31,46,37,7,20,3,47,16,21,35,25,38,6,39,12,0,17,11,26,2,14,15,1,5,10,43,42,18,4,36,8,41,22,27,9,29,28,19,32,13,45,40,30,44,34,33,24,31,46,37,7,20,3,47,16,21,35,25,38,6,39,12,0,17,11
25,1,13,14,0,4,9,42,41,17,3,35,7,40,21,26,8,28,27,18,31,12,44,39,29,43,33,32,23,30,45,36,6,19,2,22,15,20,34,47,37,5,38,11,46,16,10,25,1,13,14,0,4,9,42,41,17,3,35,7,40,21,26,8,28,27,18,31,12,44,39,29,43,33,32,23,30,45,36,6,19,2,22,15,20,34,47,37,5,38,11,46,16,10
24,0,12,13,46,3,8,41,40,16,2,34,6,39,20,47,7,27,26,17,30,11,43,38,28,42,32,31,22,29,44,35,5,18,1,21,14,19,33,23,36,4,37,10,45,15,9,24,0,12,13,46,3,8,41,40,16,2,34,6,39,20,47,7,27,26,17,30,11,43,38,28,42,32,31,22,29,44,35,5,18,1,21,14,19,33,23,36,4,37,10,45,15,9
23,46,11,12,45,2,7,40,39,15,1,33,5,38,19,24,6,47,25,16,29,10,42,37,27,41,31,30,21,28,43,34,4,17,0,20,13,18,32,22,35,3,36,9,44,14,8,23,46,11,12,45,2,7,40,39,15,1,33,5,38,19,24,6,47,25,16,29,10,42,37,27,41,31,30,21,28,43,34,4,17,0,20,13,18,32,22,35,3,36,9,44,14,8
22,45,10,11,44,1,6,39,38,14,0,32,4,37,18,23,5,25,24,15,28,9,41,36,26,40,30,29,20,47,42,33,3,16,46,19,12,17,31,21,34,2,35,8,43,13,7,22,45,10,11,44,1,6,39,38,14,0,32,4,37,18,23,5,25,24,15,28,9,41,36,26,40,30,29,20,47,42,33,3,16,46,19,12,17,31,21,34,2,35,8,43,13,7
21,44,9,10,43,0,5,38,37,13,46,31,3,36,17,22,4,24,23,14,27,8,40,35,25,39,29,47,19,26,41,32,2,15,45,18,11,16,30,20,33,1,34,7,42,12,6,21,44,9,10,43,0,5,38,37,13,46,31,3,36,17,22,4,24,23,14,27,8,40,35,25,39,29,47,19,26,41,32,2,15,45,18,11,16,30,20,33,1,34,7,42,12,6
20,43,8,9,42,46,4,37,36,12,45,30,2,35,16,21,3,23,22,13,26,7,39,34,24,38,28,27,18,25,40,31,1,14,44,17,10,15,47,19,32,0,33,6,41,11,5,20,43,8,9,42,46,4,37,36,12,45,30,2,35,16,21,3,23,22,13,26,7,39,34,24,38,28,27,18,25,40,31,1,14,44,17,10,15,47,19,32,0,33,6,41,11,5
19,42,7,8,41,45,3,36,35,11,44,29,1,34,15,20,2,22,21,12,25,6,38,33,23,37,27,26,17,24,39,47,0,13,43,16,9,14,28,18,31,46,32,5,40,10,4,19,42,7,8,41,45,3,36,35,11,44,29,1,34,15,20,2,22,21,12,25,6,38,33,23,37,27,26,17,24,39,47,0,13,43,16,9,14,28,18,31,46,32,5,40,10,4
18,41,6,7,40,44,2,35,34,10,43,28,0,33,14,19,1,21,20,11,24,5,37,32,22,36,26,25,16,23,38,29,46,12,42,15,8,13,27,17,30,45,47,4,39,9,3,18,41,6,7,40,44,2,35,34,10,43,28,0,33,14,19,1,21,20,11,24,5,37,32,22,36,26,25,16,23,38,29,46,12,42,15,8,13,27,17,30,45,47,4,39,9,3
17,40,5,6,39,43,1,34,33,9,42,27,46,47,13,18,0,20,19,10,23,4,36,31,21,35,25,24,15,22,37,28,45,11,41,14,7,12,26,16,29,44,30,3,38,8,2,17,40,5,6,39,43,1,34,33,9,42,27,46,47,13,18,0,20,19,10,23,4,36,31,21,35,25,24,15,22,37,28,45,11,41,14,7,12,26,16,29,44,30,3,38,8,2
16,39,4,5,38,42,0,47,32,8,41,26,45,31,12,17,46,19,18,9,22,3,35,30,20,34,24,23,14,21,36,27,44,10,40,13,6,11,25,15,28,43,29,2,37,7,1,16,39,4,5,38,42,0,47,32,8,41,26,45,31,12,17,46,19,18,9,22,3,35,30,20,34,24,23,14,21,36,27,44,10,40,13,6,11,25,15,28,43,29,2,37,7,1
15,38,3,4,37,41,46,32,31,7,40,25,44,30,11,16,45,18,17,8,21,2,47,29,19,33,23,22,13,20,35,26,43,9,39,12,5,10,24,14,27,42,28,1,36,6,0,15,38,3,4,37,41,46,32,31,7,40,25,44,30,11,16,45,18,17,8,21,2,47,29,19,33,23,22,13,20,35,26,43,9,39,12,5,10,24,14,27,42,28,1,36,6,0
14,37,2,3,36,40,45,31,30,6,39,24,43,29,10,15,44,17,16,7,20,1,33,28,18,32,22,21,12,19,34,25,42,8,38,11,4,9,23,13,26,41,27,0,47,5,46,14,37,2,3,36,40,45,31,30,6,39,24,43,29,10,15,44,17,16,7,20,1,33,28,18,32,22,21,12,19,34,25,42,8,38,11,4,9,23,13,26,41,27,0,47,5,46
13,47,1,2,35,39,44,30,29,5,38,23,42,28,9,14,43,16,15,6,19,0,32,27,17,31,21,20,11,18,33,24,41,7,37,10,3,8,22,12,25,40,26,46,34,4,45,13,47,1,2,35,39,44,30,29,5,38,23,42,28,9,14,43,16,15,6,19,0,32,27,17,31,21,20,11,18,33,24,41,7,37,10,3,8,22,12,25,40,26,46,34,4,45
12,35,0,1,34,38,43,29,28,4,47,22,41,27,8,13,42,15,14,5,18,46,31,26,16,30,20,19,10,17,32,23,40,6,36,9,2,7,21,11,24,39,25,45,33,3,44,12,35,0,1,34,38,43,29,28,4,47,22,41,27,8,13,42,15,14,5,18,46,31,26,16,30,20,19,10,17,32,23,40,6,36,9,2,7,21,11,24,39,25,45,33,3,44
11,34,46,0,33,37,42,28,27,3,36,21,40,26,7,12,41,14,13,4,17,45,30,25,15,29,19,18,9,16,31,22,39,5,35,8,1,6,20,10,23,47,24,44,32,2,43,11,34,46,0,33,37,42,28,27,3,36,21,40,26,7,12,41,14,13,4,17,45,30,25,15,29,19,18,9,16,31,22,39,5,35,8,1,6,20,10,23,47,24,44,32,2,43
10,33,45,46,32,36,41,27,26,2,35,20,47,25,6,11,40,13,12,3,16,44,29,24,14,28,18,17,8,15,30,21,38,4,34,7,0,5,19,9,22,37,23,43,31,1,42,10,33,45,46,32,36,41,27,26,2,35,20,47,25,6,11,40,13,12,3,16,44,29,24,14,28,18,17,8,15,30,21,38,4,34,7,0,5,19,9,22,37,23,43,31,1,42
